,classname,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,
35,org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityLabelProvider , 4.17741 , 0.00153638 , 0.160399 , 9.19476 , 0.270741 , 
36,org::eclipse::mylyn::internal::tasks::core::sync::SynchronizeRepositoriesJob , 7.5628 , 0.0221588 , 0.200018 , 9.35224 , 0.423553 , 
37,org::eclipse::mylyn::internal::wikitext::ui::util::OutlineItemAdapterFactory , 0 , 0 , 0 , 0 , 0 , 
38,org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssScanner , 0 , 0 , 0 , 0 , 0 , 
39,org::eclipse::mylyn::internal::wikitext::textile::core::token::FootnoteReferenceReplacementToken , 2.38141 , 0.00195183 , 0.132656 , 9.07779 , 0.205382 , 
40,org::eclipse::mylyn::internal::xplanner::ui::XPlannerClientFacade , 0 , 0 , 0 , 0 , 0 , 
41,org::eclipse::mylyn::internal::tasks::ui::dialogs::UiLegendControl , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
42,org::eclipse::mylyn::internal::tasks::bugs::TaskContributorManager , 5.63443 , 0.00624626 , 0.175647 , 9.25922 , 0.331448 , 
43,org::eclipse::mylyn::wikitext::confluence::core::Main , 1.49003 , 0.00119332 , 0.0435179 , 0.121386 , 0.116244 , 
44,org::eclipse::mylyn::internal::tasks::core::sync::Messages , 0 , 0 , 0 , 0 , 0 , 
45,org::eclipse::mylyn::internal::trac::core::TracWikiHandler , 9.71828 , 0.0252785 , 0.194405 , 9.39178 , 0.385205 , 
46,org::eclipse::mylyn::internal::bugzilla::core::SaxConfigurationContentHandler , 9.70413 , 0.167798 , 0.174755 , 9.34611 , 0.289796 , 
47,org::eclipse::mylyn::internal::team::ccvs::CvsCommitWorkflowProvider , 2.8654 , 0.00129687 , 0.00717923 , 0.077595 , 0.00643021 , 
48,org::eclipse::mylyn::examples::monitor::study::SubmitFeedbackPage , 10.1692 , 0.00874827 , 0.177941 , 9.36622 , 0.299239 , 
49,org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearchJob , 4.66839 , 0.00127343 , 0.163296 , 9.21193 , 0.278205 , 
50,org::eclipse::mylyn::context::core::InterestComparator , 5.99636 , 0.00281802 , 0.153529 , 9.22107 , 0.215916 , 
51,org::eclipse::mylyn::internal::context::ui::ContextEditorManager , 4.88878 , 0.0128363 , 0.166327 , 9.22338 , 0.29442 , 
52,org::eclipse::mylyn::internal::tasks::ui::TaskHyperlink , 1.84703 , 0.00113849 , 0.136921 , 9.09329 , 0.175609 , 
53,org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::SimplePhraseModifier , 1.49003 , 0.00102285 , 0.0435179 , 0.121386 , 0.116244 , 
54,org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityContentProvider , 4.17741 , 0.002106 , 0.160399 , 9.19476 , 0.270741 , 
55,org::eclipse::mylyn::internal::monitor::ui::CheckActivityJob , 0 , 0 , 0 , 0 , 0 , 
56,org::eclipse::mylyn::tasks::ui::TaskHyperlinkPresenter , 0 , 0 , 0 , 0 , 0 , 
57,org::eclipse::mylyn::internal::trac::core::TracClientFactory , 11.1128 , 0.0224729 , 0.185844 , 9.401 , 0.324364 , 
58,org::eclipse::mylyn::internal::tasks::ui::ChangeActivityHandleOperation , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
59,org::eclipse::mylyn::internal::tasks::core::AbstractTask , 6.92707 , 0.029559 , 0.223516 , 9.38388 , 0.458465 , 
60,org::eclipse::mylyn::internal::xplanner::ui::wizard::NewXPlannerTaskPage , 0 , 0 , 0 , 0 , 0 , 
61,org::eclipse::mylyn::internal::wikitext::ui::viewer::TextHover , 2.38141 , 0.00457934 , 0.132656 , 9.07779 , 0.205382 , 
62,org::eclipse::mylyn::internal::tasks::ui::TaskListSynchronizationScheduler , 12.4918 , 0.0273881 , 0.184414 , 9.43024 , 0.308445 , 
63,org::eclipse::mylyn::internal::wikitext::ui::viewer::ImageManager , 0.891381 , 0.0019846 , 0.0891381 , 8.95641 , 0.0891381 , 
64,org::eclipse::mylyn::internal::bugzilla::ui::editor::BugSubmissionHandler , 5.24564 , 0.0529899 , 0.0100173 , 0.132501 , 0.00313635 , 
65,org::eclipse::mylyn::internal::trac::ui::WebHyperlink , 3.4091 , 0.00286757 , 0.153414 , 9.16273 , 0.242476 , 
66,org::eclipse::mylyn::internal::tasks::ui::notifications::TaskListNotificationReminder , 6.83865 , 0.00827081 , 0.172657 , 9.28183 , 0.308056 , 
67,org::eclipse::mylyn::wikitext::core::util::Messages , 0 , 0 , 0 , 0 , 0 , 
68,org::eclipse::mylyn::tasks::ui::editors::TaskEditor , 28.8338 , 0.30528 , 0.323945 , 10.0819 , 0.727558 , 
69,org::eclipse::mylyn::internal::tasks::core::TaskExternalizationException , 3.17351 , 0.00150078 , 0.140881 , 9.13106 , 0.180758 , 
70,org::eclipse::mylyn::monitor::core::AbstractMonitorLog , 10.279 , 0.00769413 , 0.1838 , 9.38268 , 0.328184 , 
71,org::eclipse::mylyn::internal::provisional::commons::ui::CommonThemes , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
72,org::eclipse::mylyn::internal::tasks::ui::actions::AbstractTaskAction , 8.35812 , 0.00566305 , 0.175279 , 9.31973 , 0.299961 , 
73,org::eclipse::mylyn::internal::trac::wiki::TracWikiPageHistoryPageSource , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
74,org::eclipse::mylyn::wikitext::core::parser::outline::OutlineParser , 3.33706 , 0.0175027 , 0.180438 , 9.21468 , 0.291852 , 
75,org::eclipse::mylyn::internal::wikitext::twiki::core::block::ListBlock , 0 , 0 , 0 , 0 , 0 , 
76,org::eclipse::mylyn::internal::context::ui::HighlighterImageDescriptor , 5.25012 , 0.00382948 , 0.151457 , 9.20025 , 0.213663 , 
77,org::eclipse::mylyn::internal::tasks::ui::actions::TaskSelectionDialog , 23.5832 , 0.31964 , 0.265078 , 9.83852 , 0.518533 , 
78,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteSecurityLevel , 0 , 0 , 0 , 0 , 0 , 
79,org::eclipse::mylyn::internal::tasks::ui::actions::NewQueryAction , 14.0081 , 0.019934 , 0.203299 , 9.5042 , 0.389553 , 
80,org::eclipse::mylyn::internal::jira::core::JiraTaskDataHandler , 2.50133 , 0.0524406 , 0.00563173 , 0.0659294 , 0.00326696 , 
81,org::eclipse::mylyn::internal::trac::ui::TracImages , 6.70477 , 0.00233006 , 0.163721 , 9.25903 , 0.2626 , 
82,org::eclipse::mylyn::internal::tasks::core::LocalTask , 6.94961 , 0.0038618 , 0.164606 , 9.26602 , 0.261867 , 
83,org::eclipse::mylyn::internal::tasks::ui::wizards::TaskDataImportWizard , 23.9028 , 0.278352 , 0.235377 , 9.78508 , 0.456388 , 
84,org::eclipse::mylyn::tasks::core::sync::SubmitJob , 5.52481 , 0.00982606 , 0.176574 , 9.25819 , 0.333244 , 
85,org::eclipse::mylyn::internal::tasks::ui::OpenRepositoryTaskJob , 11.3751 , 0.0280433 , 0.215463 , 9.4685 , 0.456202 , 
86,org::eclipse::mylyn::wikitext::ui::annotation::TitleAnnotation , 1.49003 , 0.00136379 , 0.0435179 , 0.121386 , 0.116244 , 
87,org::eclipse::mylyn::internal::context::ui::BrowseFilteredListener , 13.2689 , 0.136877 , 0.180241 , 9.43979 , 0.274567 , 
88,org::eclipse::mylyn::internal::bugzilla::core::history::Messages , 0 , 0 , 0 , 0 , 0 , 
89,org::eclipse::mylyn::internal::wikitext::twiki::core::token::ImpliedEmailLinkReplacementToken , 0 , 0 , 0 , 0 , 0 , 
90,org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaCcAttributeEditor , 3.37801 , 0.00157772 , 0.154967 , 9.16485 , 0.247924 , 
91,org::eclipse::mylyn::internal::sandbox::ui::hyperlinks::AbstractResourceHyperlinkExtension , 1.84703 , 0.00132824 , 0.136921 , 9.09329 , 0.175609 , 
92,org::eclipse::mylyn::internal::context::core::InteractionContextRelation , 6.61084 , 0.00447228 , 0.156796 , 9.24227 , 0.225424 , 
93,org::eclipse::mylyn::internal::tasks::ui::commands::NewSubTaskHandler , 3.32672 , 0.00101015 , 0.149833 , 9.15394 , 0.227553 , 
94,org::eclipse::mylyn::internal::wikitext::mediawiki::core::token::HyperlinkInternalReplacementToken , 1.49003 , 0.00136379 , 0.0435179 , 0.121386 , 0.116244 , 
95,org::eclipse::mylyn::internal::jira::core::model::Comment , 7.25135 , 0.00754842 , 0.160878 , 9.2655 , 0.240562 , 
96,org::eclipse::mylyn::internal::sandbox::ui::actions::LinkActiveSearchWithEditorAction , 4.7898 , 0.00170794 , 0.16288 , 9.21441 , 0.279805 , 
97,org::eclipse::mylyn::internal::tasks::ui::dialogs::TaskListSortDialog , 3.4091 , 0.00199842 , 0.153414 , 9.16273 , 0.242476 , 
98,org::eclipse::mylyn::examples::monitor::study::MylynUserStudyExamplePlugin , 6.04101 , 0.0132887 , 0.165069 , 9.24835 , 0.279195 , 
99,org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerRepositorySettingsPage , 0 , 0 , 0 , 0 , 0 , 
100,org::eclipse::mylyn::zest::core::viewers::internal::GraphItemStyler , 5.80097 , 0.0165801 , 0.0162001 , 0.161968 , 0.0185564 , 
101,org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaKeywordAttributeEditor , 3.4091 , 0.0023733 , 0.153414 , 9.16273 , 0.242476 , 
102,org::eclipse::mylyn::wikitext::core::parser::markup::Processor , 1.49003 , 0.00221617 , 0.0435179 , 0.121386 , 0.116244 , 
103,org::eclipse::mylyn::internal::tasks::ui::commands::TaskListToolTipHandler , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
104,org::eclipse::mylyn::internal::wikitext::ui::util::HyperlinkDetectorDelegate , 0 , 0 , 0 , 0 , 0 , 
105,org::eclipse::mylyn::tasks::core::data::AbstractTaskAttachmentSource , 3.26838 , 0.00140249 , 0.155894 , 9.16383 , 0.24972 , 
106,org::eclipse::mylyn::internal::bugzilla::ui::wizard::WizardAttributesPage , 1.28671 , 0.0507681 , 0.00193493 , 0.0306552 , 1.84192e-4 , 
107,org::eclipse::mylyn::internal::wikitext::core::parser::builder::Messages , 0 , 0 , 0 , 0 , 0 , 
108,org::eclipse::mylyn::context::ui::AbstractAutoFocusViewAction , 14.8014 , 0.0165028 , 0.219826 , 9.55998 , 0.459759 , 
109,org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::TWikiMarkupTaskEditorExtension , 0 , 0 , 0 , 0 , 0 , 
110,org::eclipse::mylyn::internal::bugzilla::ui::BugzillaHyperLink , 8.10274 , 0.0101074 , 0.0164856 , 0.207883 , 0.00707136 , 
111,org::eclipse::mylyn::context::ui::AbstractFocusViewAction , 14.923 , 0.0705046 , 0.256853 , 9.63668 , 0.557703 , 
112,org::eclipse::mylyn::internal::java::ui::InterestUpdateDeltaListener , 11.1073 , 0.0094119 , 0.196701 , 9.42768 , 0.384907 , 
113,org::eclipse::mylyn::internal::tasks::ui::AddExistingTaskJob , 20.5668 , 0.0771603 , 0.240608 , 9.72524 , 0.484382 , 
114,org::eclipse::mylyn::internal::bugzilla::core::BugzillaVersion , 0 , 0 , 0 , 0 , 0 , 
115,org::eclipse::mylyn::internal::trac::ui::editor::TracTaskEditorPage , 1.84703 , 0.00132824 , 0.136921 , 9.09329 , 0.175609 , 
116,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteProjectRole , 5.94514 , 0.0143393 , 0.153982 , 9.22122 , 0.218565 , 
117,org::eclipse::mylyn::context::tests::support::ResourceHelper , 7.65102 , 0.00309046 , 0.0340622 , 0.241727 , 0.094682 , 
118,org::eclipse::mylyn::internal::tasks::ui::editors::EditorBusyIndicator , 6.098 , 0.0719537 , 0.16052 , 9.23881 , 0.251343 , 
119,org::eclipse::mylyn::internal::team::ui::actions::ApplyPatchAction , 13.8911 , 0.125593 , 0.200104 , 9.49155 , 0.369967 , 
120,org::eclipse::mylyn::tasks::ui::editors::BrowserFormPage , 6.08461 , 0.0126402 , 0.19596 , 9.30866 , 0.385984 , 
121,org::eclipse::mylyn::internal::sandbox::ui::views::ActiveSearchQuickView , 3.30169 , 0.00147135 , 0.149185 , 9.15207 , 0.224546 , 
122,org::eclipse::mylyn::zest::core::viewers::AbstractZoomableViewer , 0 , 0 , 0 , 0 , 0 , 
123,org::eclipse::mylyn::internal::wikitext::core::parser::builder::SplittingMarkupToEclipseToc , 1.49003 , 3.40949e-4 , 0.0435179 , 0.121386 , 0.116244 , 
124,org::eclipse::mylyn::internal::tasks::ui::deprecated::AbstractRepositoryQueryWizard , 4.81344 , 0.0027058 , 0.170646 , 9.22957 , 0.309565 , 
125,org::eclipse::mylyn::internal::tasks::bugs::wizards::ReportErrorWizard , 4.15475 , 0.00397534 , 0.162734 , 9.19857 , 0.279504 , 
126,org::eclipse::mylyn::internal::web::ui::WebResource , 3.17351 , 0.00226003 , 0.140881 , 9.13106 , 0.180758 , 
127,org::eclipse::mylyn::internal::tasks::ui::workingsets::WorkingSetLabelComparator , 1.84703 , 0.00151799 , 0.136921 , 9.09329 , 0.175609 , 
128,org::eclipse::mylyn::tasks::core::sync::SubmitJobEvent , 4.74807 , 0.00282514 , 0.168807 , 9.22447 , 0.301664 , 
129,org::eclipse::mylyn::internal::tasks::ui::util::AttachmentUtil , 3.08906 , 0.0507018 , 0.156012 , 9.15957 , 0.247042 , 
130,org::eclipse::mylyn::wikitext::core::parser::markup::phrase::HtmlStartTagPhraseModifier , 3.33706 , 0.00295888 , 0.180438 , 9.21468 , 0.291852 , 
131,org::eclipse::mylyn::internal::jira::core::model::LinkType , 3.91697 , 0.00233123 , 0.143116 , 9.15227 , 0.183733 , 
132,org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryCompletionProcessor , 7.42177 , 0.0469736 , 0.187057 , 9.3242 , 0.372948 , 
133,org::eclipse::mylyn::internal::tasks::ui::workingsets::TaskWorkingSetUpdater , 11.6079 , 0.0871588 , 0.197287 , 9.44018 , 0.380749 , 
134,org::eclipse::mylyn::internal::wikitext::ui::editor::help::Messages , 0 , 0 , 0 , 0 , 0 , 
135,org::eclipse::mylyn::internal::web::ui::WebResourceUiBridge , 10.9786 , 0.0183597 , 0.16572 , 9.35234 , 0.233522 , 
136,org::eclipse::mylyn::internal::web::tasks::WebRepositoryConnector , 14.6318 , 0.142129 , 0.243954 , 9.60095 , 0.530327 , 
137,org::eclipse::mylyn::internal::tasks::core::AutomaticRepositoryTaskContainer , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
138,org::eclipse::mylyn::tasks::ui::wizards::RepositoryQueryWizard , 4.17741 , 0.00219291 , 0.160399 , 9.19476 , 0.270741 , 
139,org::eclipse::mylyn::internal::wikitext::textile::core::block::QuoteBlock , 1.49003 , 0.00443233 , 0.0435179 , 0.121386 , 0.116244 , 
140,org::eclipse::mylyn::internal::tasks::core::RepositoryPerson , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
141,org::eclipse::mylyn::internal::team::ui::properties::TeamPropertiesLinkProvider , 7.65396 , 0.00390491 , 0.184821 , 9.32519 , 0.359102 , 
142,org::eclipse::mylyn::internal::tasks::core::UnmatchedTaskContainer , 5.9245 , 0.0214054 , 0.179094 , 9.27239 , 0.337168 , 
143,org::eclipse::mylyn::internal::ide::ui::IdeUiBridgePlugin , 9.64396 , 0.0289457 , 0.183654 , 9.36684 , 0.327882 , 
144,org::eclipse::mylyn::internal::wikitext::ui::editor::syntax::MarkupDamagerRepairer , 1.49003 , 0.00102285 , 0.0435179 , 0.121386 , 0.116244 , 
145,org::eclipse::mylyn::internal::context::core::InteractionContextExternalizer , 14.7303 , 0.0435583 , 0.218665 , 9.55562 , 0.454431 , 
146,org::eclipse::mylyn::internal::tasks::core::TaskAttachment , 3.39209 , 0.00240007 , 0.151673 , 9.15904 , 0.235454 , 
147,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteIssue , 5.94514 , 0.0574516 , 0.153982 , 9.22122 , 0.218565 , 
148,org::eclipse::mylyn::internal::tasks::ui::actions::GroupSubTasksAction , 7.47213 , 0.0115866 , 0.177402 , 9.3062 , 0.326336 , 
149,org::eclipse::mylyn::internal::context::ui::commands::CopyContextHandler , 4.17741 , 0.00386675 , 0.160399 , 9.19476 , 0.270741 , 
150,org::eclipse::mylyn::tasks::core::data::TaskData , 6.31013 , 0.00476112 , 0.1853 , 9.29392 , 0.368531 , 
151,org::eclipse::mylyn::internal::tasks::bugs::PluginRepositoryMappingManager , 4.88878 , 0.0074936 , 0.166327 , 9.22338 , 0.29442 , 
152,org::eclipse::mylyn::wikitext::core::parser::markup::token::PatternLineBreakReplacementToken , 1.49003 , 0.00102285 , 0.0435179 , 0.121386 , 0.116244 , 
153,org::eclipse::mylyn::internal::wikitext::mediawiki::core::block::ParagraphBlock , 1.49003 , 0.00170474 , 0.0435179 , 0.121386 , 0.116244 , 
154,org::eclipse::mylyn::internal::tasks::ui::editors::LongTextAttributeEditor , 7.50652 , 0.00478171 , 0.195488 , 9.34192 , 0.401096 , 
155,org::eclipse::mylyn::internal::wikitext::mediawiki::core::MediaWikiIdGenerationStrategy , 0 , 0 , 0 , 0 , 0 , 
156,org::eclipse::mylyn::wikitext::textile::core::TextileLanguage , 3.33706 , 0.0198786 , 0.180438 , 9.21468 , 0.291852 , 
157,org::eclipse::mylyn::internal::java::ui::editor::FocusedJavaProposalProcessor , 11.6827 , 0.00638503 , 0.193314 , 9.43398 , 0.361381 , 
158,org::eclipse::mylyn::xplanner::wsdl::soap::domain::DomainData , 6.45512 , 0.022349 , 0.0300186 , 0.209384 , 0.084371 , 
159,org::eclipse::mylyn::internal::bugzilla::core::GzipGetMethod , 6.32077 , 0.0109688 , 0.180927 , 9.28597 , 0.35212 , 
160,org::eclipse::mylyn::internal::tasks::ui::editors::TaskUrlHyperlink , 5.00502 , 0.00167139 , 0.151836 , 9.19557 , 0.218463 , 
161,org::eclipse::mylyn::internal::tasks::ui::OfflineCachingStorage , 11.5723 , 0.0101934 , 0.203127 , 9.45138 , 0.405776 , 
162,org::eclipse::mylyn::tasks::core::data::TaskDataModelListener , 4.74807 , 0.00181359 , 0.168807 , 9.22447 , 0.301664 , 
163,org::eclipse::mylyn::wikitext::core::util::IgnoreDtdEntityResolver , 1.49003 , 8.52372e-4 , 0.0435179 , 0.121386 , 0.116244 , 
164,org::eclipse::mylyn::internal::tasks::ui::DialogErrorReporter , 3.26838 , 0.00254098 , 0.155894 , 9.16383 , 0.24972 , 
165,org::eclipse::mylyn::tasks::ui::wizards::NewTaskWizard , 20.1023 , 0.0807963 , 0.262743 , 9.76123 , 0.573153 , 
166,org::eclipse::mylyn::internal::wikitext::twiki::core::token::LinkReplacementToken , 0 , 0 , 0 , 0 , 0 , 
167,org::eclipse::mylyn::internal::bugzilla::ui::search::SavedQueryFile , 0 , 0 , 0 , 0 , 0 , 
168,org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskEditorDropListener , 4.81344 , 0.00453685 , 0.170646 , 9.22957 , 0.309565 , 
169,org::eclipse::mylyn::internal::wikitext::ui::editor::validation::AnnotationMarkupValidator , 1.49003 , 0.00426186 , 0.0435179 , 0.121386 , 0.116244 , 
170,org::eclipse::mylyn::context::core::ContextCore , 6.32077 , 0.00285952 , 0.180927 , 9.28597 , 0.35212 , 
171,org::eclipse::mylyn::internal::tasks::ui::search::SearchHitCollector , 6.35853 , 0.0185186 , 0.169357 , 9.26124 , 0.295693 , 
172,org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::LineBreakToken , 1.49003 , 6.81897e-4 , 0.0435179 , 0.121386 , 0.116244 , 
173,org::eclipse::mylyn::internal::tasks::ui::views::TaskKeyComparator , 10.799 , 0.0350025 , 0.166473 , 9.35283 , 0.234179 , 
174,org::eclipse::mylyn::internal::tasks::ui::util::DownloadAttachmentJob , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
175,org::eclipse::mylyn::zest::layouts::algorithms::CompositeLayoutAlgorithm , 2.73274 , 0.0031303 , 0.00752789 , 0.0760607 , 0.0080821 , 
176,org::eclipse::mylyn::internal::tasks::ui::preferences::Messages , 0 , 0 , 0 , 0 , 0 , 
177,org::eclipse::mylyn::internal::provisional::commons::ui::ScalingHyperlink , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
178,org::eclipse::mylyn::internal::jira::core::model::Resolution , 9.23648 , 0.0126484 , 0.185332 , 9.35788 , 0.327864 , 
179,org::eclipse::mylyn::bugzilla::deprecated::BugzillaRepositoryQuery , 1.84703 , 9.48744e-4 , 0.136921 , 9.09329 , 0.175609 , 
180,org::eclipse::mylyn::wikitext::core::parser::markup::token::PatternEntityReferenceReplacementToken , 1.49003 , 0.00187522 , 0.0435179 , 0.121386 , 0.116244 , 
181,org::eclipse::mylyn::internal::tasks::ui::wizards::TaskDataImportWizardPage , 20.5714 , 0.239411 , 0.218733 , 9.67704 , 0.401462 , 
182,org::eclipse::mylyn::internal::jira::core::service::JiraClientData , 7.9553 , 0.0243196 , 0.163993 , 9.28668 , 0.24895 , 
183,org::eclipse::mylyn::wikitext::ui::annotation::ClassAnnotation , 1.49003 , 5.11423e-4 , 0.0435179 , 0.121386 , 0.116244 , 
184,org::eclipse::mylyn::internal::tasks::bugs::actions::NewTaskFromMarkerHandler , 3.37801 , 0.00321518 , 0.154967 , 9.16485 , 0.247924 , 
185,org::eclipse::mylyn::internal::jira::core::model::filter::ComponentFilter , 4.58293 , 0.00257308 , 0.145075 , 9.17116 , 0.186189 , 
186,org::eclipse::mylyn::internal::context::ui::ContextUiImages , 12.6094 , 0.0112128 , 0.189996 , 9.44519 , 0.333833 , 
187,org::eclipse::mylyn::internal::tasks::core::DefaultTaskMapping , 1.84703 , 0.00151799 , 0.136921 , 9.09329 , 0.175609 , 
188,org::eclipse::mylyn::internal::tasks::ui::commands::OpenSelectedTaskHandler , 4.88878 , 0.00158715 , 0.166327 , 9.22338 , 0.29442 , 
189,org::eclipse::mylyn::internal::tasks::ui::ComboSelectionDialog , 6.13764 , 0.00561672 , 0.0199544 , 0.176682 , 0.0400293 , 
190,org::eclipse::mylyn::internal::tasks::ui::actions::CompareAttachmentsAction , 8.68883 , 0.0510409 , 0.206797 , 9.39234 , 0.447388 , 
