,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
28,org::eclipse::mylyn::tasks::tests::connector::MockTask , 3 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
29,org::eclipse::mylyn::internal::commons::ui::NotificationPopupColors , 3 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
30,org::eclipse::mylyn::internal::jira::core::service::web::rss::JiraRssSessionCallback , 5 , 3 , 1 , 0 , 2 , 1 , 1 , 0 , 0 , 0 , 
31,org::eclipse::mylyn::zest::tests::swt::LayoutExample , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
32,org::xplanner::soap::XPlanner::XPlannerHttpSender , 5 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
33,org::eclipse::mylyn::internal::pde::ui::Messages , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
34,org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSeveritySearchSorter , 5 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
35,org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityLabelProvider , 5 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
36,org::eclipse::mylyn::internal::tasks::core::sync::SynchronizeRepositoriesJob , 16 , 9 , 1 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 
37,org::eclipse::mylyn::internal::wikitext::ui::util::OutlineItemAdapterFactory , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
38,org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssScanner , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
39,org::eclipse::mylyn::internal::wikitext::textile::core::token::FootnoteReferenceReplacementToken , 5 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
40,org::eclipse::mylyn::internal::xplanner::ui::XPlannerClientFacade , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 
41,org::eclipse::mylyn::internal::tasks::ui::dialogs::UiLegendControl , 3 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
42,org::eclipse::mylyn::internal::tasks::bugs::TaskContributorManager , 9 , 2 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
43,org::eclipse::mylyn::wikitext::confluence::core::Main , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
44,org::eclipse::mylyn::internal::tasks::core::sync::Messages , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
45,org::eclipse::mylyn::internal::trac::core::TracWikiHandler , 10 , 6 , 1 , 0 , 7 , 0 , 0 , 0 , 0 , 0 , 
46,org::eclipse::mylyn::internal::bugzilla::core::SaxConfigurationContentHandler , 11 , 4 , 0 , 0 , 8 , 1 , 0 , 0 , 0 , 1 , 
47,org::eclipse::mylyn::internal::team::ccvs::CvsCommitWorkflowProvider , 3 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
48,org::eclipse::mylyn::examples::monitor::study::SubmitFeedbackPage , 8 , 2 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 
49,org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearchJob , 5 , 2 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
50,org::eclipse::mylyn::context::core::InterestComparator , 7 , 3 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
51,org::eclipse::mylyn::internal::context::ui::ContextEditorManager , 14 , 6 , 0 , 0 , 7 , 1 , 1 , 0 , 0 , 0 , 
52,org::eclipse::mylyn::internal::tasks::ui::TaskHyperlink , 3 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
53,org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::SimplePhraseModifier , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
54,org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityContentProvider , 4 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
55,org::eclipse::mylyn::internal::monitor::ui::CheckActivityJob , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
56,org::eclipse::mylyn::tasks::ui::TaskHyperlinkPresenter , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 
57,org::eclipse::mylyn::internal::trac::core::TracClientFactory , 10 , 5 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 
58,org::eclipse::mylyn::internal::tasks::ui::ChangeActivityHandleOperation , 3 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
59,org::eclipse::mylyn::internal::tasks::core::AbstractTask , 24 , 16 , 3 , 2 , 17 , 0 , 0 , 0 , 0 , 0 , 
60,org::eclipse::mylyn::internal::xplanner::ui::wizard::NewXPlannerTaskPage , 1 , 1 , 1 , 0 , 1 , 2 , 2 , 0 , 0 , 0 , 
61,org::eclipse::mylyn::internal::wikitext::ui::viewer::TextHover , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
62,org::eclipse::mylyn::internal::tasks::ui::TaskListSynchronizationScheduler , 15 , 7 , 3 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 
63,org::eclipse::mylyn::internal::wikitext::ui::viewer::ImageManager , 4 , 2 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
64,org::eclipse::mylyn::internal::bugzilla::ui::editor::BugSubmissionHandler , 12 , 3 , 0 , 0 , 7 , 0 , 0 , 0 , 0 , 0 , 
65,org::eclipse::mylyn::internal::trac::ui::WebHyperlink , 5 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
66,org::eclipse::mylyn::internal::tasks::ui::notifications::TaskListNotificationReminder , 6 , 1 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
67,org::eclipse::mylyn::wikitext::core::util::Messages , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
68,org::eclipse::mylyn::tasks::ui::editors::TaskEditor , 92 , 39 , 5 , 3 , 42 , 8 , 5 , 0 , 0 , 1 , 
69,org::eclipse::mylyn::internal::tasks::core::TaskExternalizationException , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
70,org::eclipse::mylyn::monitor::core::AbstractMonitorLog , 14 , 4 , 1 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 
71,org::eclipse::mylyn::internal::provisional::commons::ui::CommonThemes , 3 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
72,org::eclipse::mylyn::internal::tasks::ui::actions::AbstractTaskAction , 10 , 3 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 
73,org::eclipse::mylyn::internal::trac::wiki::TracWikiPageHistoryPageSource , 2 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
74,org::eclipse::mylyn::wikitext::core::parser::outline::OutlineParser , 11 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
75,org::eclipse::mylyn::internal::wikitext::twiki::core::block::ListBlock , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
76,org::eclipse::mylyn::internal::context::ui::HighlighterImageDescriptor , 5 , 3 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
77,org::eclipse::mylyn::internal::tasks::ui::actions::TaskSelectionDialog , 38 , 13 , 3 , 2 , 14 , 0 , 0 , 0 , 0 , 0 , 
78,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteSecurityLevel , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
79,org::eclipse::mylyn::internal::tasks::ui::actions::NewQueryAction , 17 , 3 , 0 , 0 , 11 , 0 , 0 , 0 , 0 , 0 , 
80,org::eclipse::mylyn::internal::jira::core::JiraTaskDataHandler , 5 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
81,org::eclipse::mylyn::internal::trac::ui::TracImages , 6 , 1 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
82,org::eclipse::mylyn::internal::tasks::core::LocalTask , 7 , 2 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
83,org::eclipse::mylyn::internal::tasks::ui::wizards::TaskDataImportWizard , 37 , 16 , 0 , 0 , 26 , 0 , 0 , 0 , 0 , 0 , 
84,org::eclipse::mylyn::tasks::core::sync::SubmitJob , 8 , 4 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
85,org::eclipse::mylyn::internal::tasks::ui::OpenRepositoryTaskJob , 24 , 10 , 1 , 1 , 15 , 0 , 0 , 0 , 0 , 0 , 
86,org::eclipse::mylyn::wikitext::ui::annotation::TitleAnnotation , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
87,org::eclipse::mylyn::internal::context::ui::BrowseFilteredListener , 14 , 7 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 
88,org::eclipse::mylyn::internal::bugzilla::core::history::Messages , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
89,org::eclipse::mylyn::internal::wikitext::twiki::core::token::ImpliedEmailLinkReplacementToken , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
90,org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaCcAttributeEditor , 4 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
91,org::eclipse::mylyn::internal::sandbox::ui::hyperlinks::AbstractResourceHyperlinkExtension , 2 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
92,org::eclipse::mylyn::internal::context::core::InteractionContextRelation , 7 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
93,org::eclipse::mylyn::internal::tasks::ui::commands::NewSubTaskHandler , 3 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
94,org::eclipse::mylyn::internal::wikitext::mediawiki::core::token::HyperlinkInternalReplacementToken , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
95,org::eclipse::mylyn::internal::jira::core::model::Comment , 8 , 3 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
96,org::eclipse::mylyn::internal::sandbox::ui::actions::LinkActiveSearchWithEditorAction , 5 , 1 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
97,org::eclipse::mylyn::internal::tasks::ui::dialogs::TaskListSortDialog , 7 , 4 , 1 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
98,org::eclipse::mylyn::examples::monitor::study::MylynUserStudyExamplePlugin , 7 , 2 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 
99,org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerRepositorySettingsPage , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 
100,org::eclipse::mylyn::zest::core::viewers::internal::GraphItemStyler , 4 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
101,org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaKeywordAttributeEditor , 3 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
102,org::eclipse::mylyn::wikitext::core::parser::markup::Processor , 4 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
103,org::eclipse::mylyn::internal::tasks::ui::commands::TaskListToolTipHandler , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
104,org::eclipse::mylyn::internal::wikitext::ui::util::HyperlinkDetectorDelegate , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
105,org::eclipse::mylyn::tasks::core::data::AbstractTaskAttachmentSource , 3 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
106,org::eclipse::mylyn::internal::bugzilla::ui::wizard::WizardAttributesPage , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
107,org::eclipse::mylyn::internal::wikitext::core::parser::builder::Messages , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
108,org::eclipse::mylyn::context::ui::AbstractAutoFocusViewAction , 20 , 9 , 2 , 0 , 12 , 0 , 0 , 0 , 0 , 0 , 
109,org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::TWikiMarkupTaskEditorExtension , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
110,org::eclipse::mylyn::internal::bugzilla::ui::BugzillaHyperLink , 9 , 4 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
111,org::eclipse::mylyn::context::ui::AbstractFocusViewAction , 29 , 15 , 4 , 0 , 22 , 1 , 0 , 0 , 0 , 1 , 
112,org::eclipse::mylyn::internal::java::ui::InterestUpdateDeltaListener , 13 , 3 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 
113,org::eclipse::mylyn::internal::tasks::ui::AddExistingTaskJob , 35 , 12 , 2 , 1 , 21 , 1 , 1 , 0 , 0 , 0 , 
114,org::eclipse::mylyn::internal::bugzilla::core::BugzillaVersion , 2 , 2 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 
115,org::eclipse::mylyn::internal::trac::ui::editor::TracTaskEditorPage , 3 , 2 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 
116,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteProjectRole , 7 , 4 , 1 , 1 , 5 , 0 , 0 , 0 , 0 , 0 , 
117,org::eclipse::mylyn::context::tests::support::ResourceHelper , 7 , 2 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 
118,org::eclipse::mylyn::internal::tasks::ui::editors::EditorBusyIndicator , 6 , 1 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
119,org::eclipse::mylyn::internal::team::ui::actions::ApplyPatchAction , 17 , 4 , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 
120,org::eclipse::mylyn::tasks::ui::editors::BrowserFormPage , 7 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
121,org::eclipse::mylyn::internal::sandbox::ui::views::ActiveSearchQuickView , 4 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
122,org::eclipse::mylyn::zest::core::viewers::AbstractZoomableViewer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
123,org::eclipse::mylyn::internal::wikitext::core::parser::builder::SplittingMarkupToEclipseToc , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
124,org::eclipse::mylyn::internal::tasks::ui::deprecated::AbstractRepositoryQueryWizard , 5 , 3 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
125,org::eclipse::mylyn::internal::tasks::bugs::wizards::ReportErrorWizard , 7 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
126,org::eclipse::mylyn::internal::web::ui::WebResource , 3 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
127,org::eclipse::mylyn::internal::tasks::ui::workingsets::WorkingSetLabelComparator , 2 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
128,org::eclipse::mylyn::tasks::core::sync::SubmitJobEvent , 3 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
129,org::eclipse::mylyn::internal::tasks::ui::util::AttachmentUtil , 7 , 3 , 1 , 1 , 4 , 1 , 0 , 0 , 0 , 0 , 
130,org::eclipse::mylyn::wikitext::core::parser::markup::phrase::HtmlStartTagPhraseModifier , 5 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
131,org::eclipse::mylyn::internal::jira::core::model::LinkType , 4 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
132,org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryCompletionProcessor , 13 , 3 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 
133,org::eclipse::mylyn::internal::tasks::ui::workingsets::TaskWorkingSetUpdater , 22 , 11 , 1 , 1 , 12 , 1 , 0 , 0 , 0 , 0 , 
134,org::eclipse::mylyn::internal::wikitext::ui::editor::help::Messages , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
135,org::eclipse::mylyn::internal::web::ui::WebResourceUiBridge , 12 , 5 , 1 , 1 , 7 , 0 , 0 , 0 , 0 , 0 , 
136,org::eclipse::mylyn::internal::web::tasks::WebRepositoryConnector , 44 , 23 , 1 , 1 , 22 , 0 , 0 , 0 , 0 , 0 , 
137,org::eclipse::mylyn::internal::tasks::core::AutomaticRepositoryTaskContainer , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
138,org::eclipse::mylyn::tasks::ui::wizards::RepositoryQueryWizard , 7 , 5 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
139,org::eclipse::mylyn::internal::wikitext::textile::core::block::QuoteBlock , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
140,org::eclipse::mylyn::internal::tasks::core::RepositoryPerson , 3 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
141,org::eclipse::mylyn::internal::team::ui::properties::TeamPropertiesLinkProvider , 7 , 1 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
142,org::eclipse::mylyn::internal::tasks::core::UnmatchedTaskContainer , 7 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
143,org::eclipse::mylyn::internal::ide::ui::IdeUiBridgePlugin , 10 , 4 , 1 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 
144,org::eclipse::mylyn::internal::wikitext::ui::editor::syntax::MarkupDamagerRepairer , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
145,org::eclipse::mylyn::internal::context::core::InteractionContextExternalizer , 22 , 10 , 3 , 0 , 14 , 0 , 0 , 0 , 0 , 0 , 
146,org::eclipse::mylyn::internal::tasks::core::TaskAttachment , 3 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
147,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteIssue , 7 , 4 , 1 , 1 , 5 , 0 , 0 , 0 , 0 , 0 , 
148,org::eclipse::mylyn::internal::tasks::ui::actions::GroupSubTasksAction , 7 , 3 , 1 , 1 , 5 , 0 , 0 , 0 , 0 , 0 , 
149,org::eclipse::mylyn::internal::context::ui::commands::CopyContextHandler , 6 , 2 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
150,org::eclipse::mylyn::tasks::core::data::TaskData , 6 , 4 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
151,org::eclipse::mylyn::internal::tasks::bugs::PluginRepositoryMappingManager , 7 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
152,org::eclipse::mylyn::wikitext::core::parser::markup::token::PatternLineBreakReplacementToken , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
153,org::eclipse::mylyn::internal::wikitext::mediawiki::core::block::ParagraphBlock , 4 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
154,org::eclipse::mylyn::internal::tasks::ui::editors::LongTextAttributeEditor , 8 , 3 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
155,org::eclipse::mylyn::internal::wikitext::mediawiki::core::MediaWikiIdGenerationStrategy , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
156,org::eclipse::mylyn::wikitext::textile::core::TextileLanguage , 8 , 6 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 
157,org::eclipse::mylyn::internal::java::ui::editor::FocusedJavaProposalProcessor , 13 , 3 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 
158,org::eclipse::mylyn::xplanner::wsdl::soap::domain::DomainData , 4 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
159,org::eclipse::mylyn::internal::bugzilla::core::GzipGetMethod , 11 , 4 , 0 , 0 , 7 , 0 , 0 , 0 , 0 , 0 , 
160,org::eclipse::mylyn::internal::tasks::ui::editors::TaskUrlHyperlink , 5 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
161,org::eclipse::mylyn::internal::tasks::ui::OfflineCachingStorage , 13 , 4 , 0 , 0 , 11 , 0 , 0 , 0 , 0 , 0 , 
162,org::eclipse::mylyn::tasks::core::data::TaskDataModelListener , 3 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
163,org::eclipse::mylyn::wikitext::core::util::IgnoreDtdEntityResolver , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
164,org::eclipse::mylyn::internal::tasks::ui::DialogErrorReporter , 4 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
165,org::eclipse::mylyn::tasks::ui::wizards::NewTaskWizard , 25 , 8 , 1 , 0 , 16 , 0 , 0 , 0 , 0 , 0 , 
166,org::eclipse::mylyn::internal::wikitext::twiki::core::token::LinkReplacementToken , 3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
167,org::eclipse::mylyn::internal::bugzilla::ui::search::SavedQueryFile , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
168,org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskEditorDropListener , 5 , 2 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
169,org::eclipse::mylyn::internal::wikitext::ui::editor::validation::AnnotationMarkupValidator , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
170,org::eclipse::mylyn::context::core::ContextCore , 7 , 3 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
171,org::eclipse::mylyn::internal::tasks::ui::search::SearchHitCollector , 14 , 7 , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 
172,org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::LineBreakToken , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
173,org::eclipse::mylyn::internal::tasks::ui::views::TaskKeyComparator , 11 , 5 , 1 , 0 , 7 , 1 , 0 , 1 , 0 , 1 , 
