,['classname , numberOfBugsFoundUntil: , numberOfNonTrivialBugsFoundUntil: , numberOfMajorBugsFoundUntil: , numberOfCriticalBugsFoundUntil: , numberOfHighPriorityBugsFoundUntil: , numberOfVersionsUntil: , numberOfFixesUntil: , numberOfRefactoringsUntil: , numberOfAuthorsUntil: , linesAddedUntil: , maxLinesAddedUntil: , avgLinesAddedUntil: , linesRemovedUntil: , maxLinesRemovedUntil: , avgLinesRemovedUntil: , codeChurnUntil: , maxCodeChurnUntil: , avgCodeChurnUntil: , ageWithRespectTo: , weightedAgeWithRespectTo: , CvsEntropy , CvsWEntropy , CvsLinEntropy , CvsLogEntropy , CvsExpEntropy , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs 
14,['org::eclipse::pde::internal::core::product::ArgumentsInfo ,1,0,0,0,0,7,0,0,4,314,106,44.8571,131,88,18.7143,183,91,26.1429,186.71400000000003,70.7525,4.87416,0.0423102,0.013344,0.130918,0.031069799999999998,6,3,1,5,55,0,11,15,210,11,36,11,2,0,9,128,76,0
15,['org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope ,1,1,0,0,0,6,1,0,3,94,39,15.6667,7,5,1.16667,87,39,14.5,64.0,7.75988,5.85726,0.0236388,0.024722099999999997,0.184515,0.061849,5,2,1,4,1,0,1,6,18,2,11,0,0,1,2,9,5,0
16,['org::eclipse::ui::internal::views::log::Messages ,1,1,0,0,0,17,1,0,1,44,9,2.5882400000000003,13,7,0.764706,31,8,1.8235299999999999,49.4286,13.8409,7.94205,0.0098549,0.0457686,0.277405,0.15218800000000002,0,1,0,0,0,0,81,0,0,0,0,1,0,80,0,0,0,0
17,['org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage ,1,1,1,1,0,45,1,1,8,986,179,21.9111,735,150,16.3333,251,91,5.5777800000000015,222.0,104.76299999999999,22.9998,0.191977,0.0844452,0.6607109999999999,0.220466,10,2,1,9,66,0,19,11,245,12,13,18,5,0,4,83,36,1
18,['org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation ,1,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,33.1429,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1,7,6,0,1,0,42,4,0,1,1,0,1,21,8,0
19,['org::eclipse::pde::internal::core::build::Build ,0,0,0,0,0,12,1,0,7,81,47,6.75,71,41,5.91667,10,6,0.833333,335.286,133.847,6.425990000000001,0.00396796,0.015846100000000002,0.16853900000000002,0.0313813,12,2,4,8,28,0,1,0,36,8,20,0,0,0,8,36,10,0
20,['org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails ,1,1,0,0,0,31,0,0,4,472,105,15.2258,674,378,21.7419,-202,75,-6.51613,104.286,27.5042,15.7896,0.212011,0.044523099999999996,0.439259,0.0636045,12,4,1,11,120,0,9,0,252,16,32,9,5,0,11,88,29,0
21,['org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog ,1,1,0,0,0,17,0,3,1,126,23,7.411760000000001,397,326,23.3529,-271,22,-15.9412,52.4286,10.4875,8.965010000000003,0.177304,0.0603233,0.329377,0.209759,12,1,3,10,21,0,4,0,82,7,0,4,0,0,2,28,11,0
22,['org::eclipse::pde::internal::ui::build::BuildFeatureAction ,1,1,0,0,0,36,0,0,5,176,17,4.88889,208,37,5.77778,-32,15,-0.8888889999999999,240.71400000000003,65.1428,18.6755,0.0320414,0.0389264,0.47201899999999997,0.053428099999999985,11,2,0,11,1,0,1,1,34,2,14,1,0,0,0,28,7,0
23,['org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration ,1,1,1,1,0,39,0,2,4,627,185,16.0769,417,91,10.6923,210,185,5.38462,155.429,41.0601,21.0216,0.162209,0.0722067,0.604907,0.1722,17,2,0,17,21,0,2,1,123,7,19,1,3,0,1,102,30,1
24,['org::eclipse::pde::internal::core::exports::FeatureExportInfo ,1,1,0,0,0,5,0,0,3,15,11,3.0,13,11,2.6,2,1,0.4,128.143,83.4857,5.9881400000000005,0.00344743,0.027985000000000003,0.189977,0.08715139999999999,6,1,6,0,0,0,11,0,0,1,6,0,0,11,1,1,0,1
25,['org::eclipse::pde::internal::ui::launcher::ProgramBlock ,1,1,0,0,0,15,0,0,3,440,191,29.3333,68,45,4.53333,372,191,24.8,156.429,13.2305,11.1043,0.0350077,0.0294145,0.301086,0.0468669,6,1,3,3,78,1,6,0,118,13,6,5,0,0,5,58,29,1
26,['org::eclipse::pde::internal::ui::PDEPlugin ,1,1,1,0,0,61,1,1,8,592,62,9.70492,743,176,12.1803,-151,53,-2.4754099999999997,335.286,156.247,22.1695,0.12770499999999999,0.0650466,0.6081770000000001,0.142486,362,1,355,11,253,0,10,32,134,23,0,10,2,0,21,72,39,1
27,['org::eclipse::pde::internal::core::text::bundle::ExportPackageObject ,1,1,0,0,0,18,1,0,5,706,157,39.2222,268,160,14.8889,438,121,24.3333,151.143,60.9278,14.0182,0.153476,0.0431189,0.396183,0.0851413,22,4,10,12,136,0,4,4,237,17,51,4,2,0,13,117,50,0
28,['org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction ,0,0,0,0,0,6,1,0,3,22,10,3.66667,9,6,1.5,13,10,2.16667,169.0,74.5844,5.3258199999999984,0.00301835,0.015453,0.14652,0.0344466,3,1,0,3,1,0,0,0,13,2,0,0,0,0,2,8,2,0
29,['org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction ,0,0,0,0,0,3,0,0,3,21,11,7.0,19,19,6.33333,2,10,0.666667,128.429,49.8639,3.18664,0.00253204,0.0122967,0.0957854,0.03417580000000001,2,1,1,1,3,0,2,0,32,3,0,2,0,0,2,6,3,0
30,['org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard ,0,0,0,0,0,4,0,0,3,18,10,4.5,15,9,3.75,3,2,0.75,183.857,116.056,4.68802,0.00595426,0.0163329,0.13759000000000002,0.0373153,2,1,1,1,3,0,2,0,20,3,0,2,0,0,3,8,4,0
31,['org::eclipse::pde::internal::ui::editor::feature::PluginSection ,1,1,1,0,1,54,1,0,9,775,195,14.3519,594,127,11.0,181,79,3.35185,335.286,138.62,16.953,0.10778800000000001,0.036146199999999996,0.432626,0.0444842,30,5,1,29,378,0,5,2,317,28,73,5,9,0,11,177,61,0
32,['org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader ,1,1,0,0,0,12,0,0,4,277,116,23.0833,114,58,9.5,163,116,13.5833,151.0,21.1171,7.10446,0.0319829,0.0198681,0.194702,0.03772080000000001,16,4,12,4,36,8,2,4,44,9,55,2,0,0,8,26,13,0
33,['org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant ,1,1,0,0,0,12,0,1,2,94,34,7.83333,40,23,3.33333,54,34,4.5,158.0,25.3055,12.8088,0.0266778,0.0340185,0.34726999999999997,0.0555389,4,2,0,4,10,0,0,2,47,5,7,0,1,0,1,25,15,0
34,['org::eclipse::pde::internal::core::plugin::Fragment ,1,1,0,0,0,34,2,1,8,204,30,6.0,168,38,4.94118,36,10,1.05882,335.286,133.715,12.3547,0.0114085,0.029789099999999995,0.324343,0.049381,10,5,3,7,78,0,5,28,144,13,185,5,0,0,11,84,38,0
35,['org::eclipse::pde::internal::ui::editor::site::SiteEditor ,1,1,1,0,0,42,1,0,9,657,203,15.6429,466,141,11.0952,191,194,4.547619999999998,302.57099999999997,88.4264,17.2555,0.038877999999999996,0.0380987,0.44291,0.0543633,27,3,1,26,210,0,1,1,153,21,72,1,3,0,5,92,32,1
36,['org::eclipse::pde::internal::core::target::TargetObject ,1,1,0,0,0,5,0,1,3,8,4,1.6,9,6,1.8,-1,1,-0.2,144.857,94.2143,6.09363,0.00329454,0.0232348,0.185614,0.0518362,13,2,9,4,28,9,2,0,30,8,11,2,0,0,5,18,10,0
37,['org::eclipse::pde::ui::launcher::MainTab ,1,1,0,0,0,24,0,0,4,937,640,39.0417,629,564,26.2083,308,640,12.8333,156.571,11.344000000000001,17.0132,0.127028,0.0906105,0.560387,0.22732600000000003,4,2,1,3,78,1,4,43,96,13,6,1,0,0,10,40,19,0
38,['org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant ,1,1,0,0,0,7,0,0,4,28,10,4.0,15,5,2.1428599999999998,13,10,1.8571400000000002,187.143,65.3571,9.16205,0.00559238,0.022433099999999997,0.240619,0.0410128,7,1,6,1,3,0,1,0,15,3,6,0,1,0,2,9,4,0
39,['org::eclipse::pde::internal::ui::editor::build::JARFileFilter ,1,1,0,0,0,10,0,0,5,52,18,5.2,38,20,3.8,14,11,1.4,263.42900000000003,112.464,7.83167,0.00405687,0.018250799999999998,0.202284,0.0344576,2,1,1,1,6,1,2,0,31,4,0,2,0,0,4,15,12,0
40,['org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceTemplate ,1,0,0,0,0,2,0,1,2,14,14,7.0,21,21,10.5,-7,0,-3.5,95.5714,58.5714,1.56044,0.00581974,0.00803114,0.052585599999999996,0.0247077,3,5,1,2,28,0,1,13,29,8,80,0,0,0,7,14,8,0
41,['org::eclipse::pde::internal::core::text::toc::TocLink ,0,0,0,0,0,5,0,0,2,242,118,48.4,37,23,7.4,205,118,41.0,59.5714,1.6387200000000002,3.71677,0.0150895,0.0160982,0.117977,0.0417074,8,5,4,4,21,0,1,28,30,7,248,1,0,0,7,21,8,0
42,['org::eclipse::pde::internal::ui::wizards::extension::ExtensionEditorSelectionPage ,0,0,0,0,0,10,0,0,6,42,10,4.2,37,9,3.7,5,3,0.5,227.0,71.4558,9.36692,0.00986558,0.0197926,0.235736,0.034427099999999995,2,3,1,1,3,0,3,2,23,3,19,3,0,0,2,5,3,0
43,['org::eclipse::pde::internal::core::text::bundle::BundleClasspathHeader ,1,0,0,0,0,7,0,0,3,106,49,15.1429,35,14,5.0,71,49,10.1429,151.143,20.6159,5.36088,0.0112258,0.017609299999999998,0.153661,0.04105159999999999,3,5,3,0,3,0,1,6,9,3,71,1,0,0,3,5,3,0
44,['org::eclipse::pde::internal::ui::wizards::RenameDialog ,1,1,0,0,0,16,0,0,7,204,75,12.75,108,71,6.75,96,69,6.0,246.571,99.1989,13.5092,0.046118099999999995,0.039444,0.362505,0.100537,5,1,2,3,78,0,7,0,104,13,0,7,1,0,8,46,24,0
45,['org::eclipse::pde::internal::ui::editor::site::SiteInputContext ,1,1,0,0,0,12,0,0,7,96,54,8.0,97,52,8.08333,-1,4,-0.08333330000000001,227.429,70.3393,8.39741,0.005304,0.0196272,0.21743600000000002,0.03540690000000001,13,4,1,12,55,0,2,3,110,11,51,1,2,0,3,50,18,1
46,['org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionFromTargetOperation ,1,1,0,0,0,5,0,0,4,17,10,3.4,8,6,1.6,9,10,1.8,136.286,34.1597,5.70432,0.0031823,0.0167261,0.15799100000000002,0.0353891,6,2,1,5,1,0,1,0,17,2,4,1,0,0,1,10,3,1
47,['org::eclipse::pde::internal::ui::refactoring::ResourceMoveParticipant ,1,0,0,0,0,5,0,2,2,41,11,8.2,37,35,7.4,4,10,0.8,98.2857,48.4634,5.2122,0.014476499999999998,0.024863,0.16969800000000002,0.0746005,7,2,0,7,6,2,0,2,39,4,7,0,0,0,0,32,13,0
48,['org::eclipse::pde::internal::runtime::MessageHelper ,1,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,43.5714,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,18,2,6,0,1,0,1,14,7,0
49,['org::eclipse::pde::internal::ui::editor::plugin::ExtensionContentProvider ,0,0,0,0,0,2,0,0,1,80,80,40.0,0,0,0.0,80,80,40.0,36.0,0.0,1.77712,0.00311572,0.00961856,0.0609203,0.0309529,6,2,1,5,10,0,0,0,27,5,9,0,0,0,4,14,10,0
50,['org::eclipse::pde::internal::ui::editor::target::JRESection ,1,1,0,0,0,15,0,0,5,196,45,13.0667,118,51,7.86667,78,43,5.2,144.286,56.9934,12.5528,0.0608909,0.0566341,0.389329,0.148516,14,3,1,13,66,0,10,0,179,12,21,10,5,0,4,77,22,0
51,['org::eclipse::pde::internal::ui::editor::plugin::RuntimePage ,1,1,0,0,0,28,0,0,7,136,25,4.85714,146,30,5.21429,-10,12,-0.357143,227.429,78.4916,17.1566,0.026910700000000003,0.0359634,0.43479799999999996,0.04727940000000001,10,2,1,10,6,0,1,0,34,4,28,0,1,0,1,33,7,0
52,['org::eclipse::pde::internal::ui::editor::actions::HyperlinkAction ,1,1,0,0,0,5,0,0,4,53,24,10.6,49,25,9.8,4,10,0.8,110.14299999999999,39.5687,5.38823,0.01693,0.019149400000000004,0.159697,0.0421158,4,1,3,2,105,0,3,0,94,15,0,0,1,0,11,43,36,0
53,['org::eclipse::pde::internal::ui::wizards::tools::ExtensionPointMappings ,0,0,0,0,0,8,0,0,5,41,17,5.125,34,17,4.25,7,10,0.875,240.71400000000003,62.4983,8.04434,0.00382388,0.0180291,0.205054,0.0343696,2,1,0,2,10,0,1,0,33,5,6,1,1,0,4,16,10,0
54,['org::eclipse::pde::internal::ui::wizards::feature::CreateFeatureProjectFromLaunchOperation ,1,1,0,0,0,4,0,0,2,26,11,6.5,18,13,4.5,8,9,2.0,71.8571,27.3242,4.41939,0.0170584,0.0479936,0.197615,0.128048,6,3,1,5,3,0,1,4,26,3,9,1,1,0,1,11,7,0
55,['org::eclipse::pde::internal::core::text::plugin::PluginAttribute ,1,1,1,0,0,13,0,0,5,410,130,31.5385,90,33,6.9230800000000015,320,130,24.6154,151.143,31.6415,12.3849,0.06420790000000001,0.033907400000000004,0.339617,0.0543606,9,4,6,4,190,0,3,16,69,20,200,3,0,0,20,42,20,0
56,['org::eclipse::pde::internal::ui::editor::text::ManifestConfiguration ,1,1,0,0,0,32,3,0,4,254,78,7.9375,122,50,3.8125,132,74,4.125,147.429,32.0484,16.5679,0.0467654,0.0415204,0.44081899999999996,0.0673065,11,2,1,10,78,0,8,2,93,13,11,8,0,0,12,38,30,0
57,['org::eclipse::pde::internal::ui::editor::text::ExternalizedStringRule ,1,0,0,0,0,2,0,0,2,5,5,2.5,8,8,4.0,-3,0,-1.5,51.8571,17.7143,1.76682,0.000324243,0.0100966,0.0617154,0.0339284,3,1,1,2,1,0,0,0,17,2,0,0,0,0,1,5,4,0
58,['org::eclipse::pde::internal::core::site::SiteObject ,1,1,0,0,0,20,1,0,7,110,24,5.5,107,26,5.35,3,22,0.15,302.57099999999997,107.86,14.705,0.0129053,0.0333169,0.37988,0.0501621,18,2,9,9,253,6,5,1,131,23,14,1,0,3,12,60,40,0
59,['org::eclipse::pde::internal::core::variables::TargetOSVariableResolver ,1,1,1,0,0,2,0,0,2,1,1,0.5,2,2,1.0,-1,0,-0.5,69.0,32.8571,1.77712,0.000116839,0.00961856,0.0609203,0.0309529,1,1,0,1,0,0,0,0,3,1,6,0,0,0,1,2,1,0
60,['org::eclipse::pde::internal::ui::editor::product::PluginSection ,1,1,1,0,0,49,2,0,5,910,216,18.5714,481,162,9.81633,429,210,8.7551,189.429,49.2801,27.4268,0.222613,0.055587199999999996,0.691779,0.0615408,29,5,2,27,528,0,3,2,432,33,73,2,16,0,9,239,92,0
61,['org::eclipse::pde::internal::ui::templates::ide::BuilderTemplate ,1,1,0,0,0,7,0,3,4,34,15,4.85714,28,24,4.0,6,15,0.857143,95.5714,40.2227,6.33209,0.0169707,0.0229523,0.189626,0.0492202,15,5,1,14,91,0,8,13,166,14,80,8,1,0,10,70,23,0
62,['org::eclipse::pde::internal::core::natures::PluginProject ,1,1,0,0,0,3,0,0,3,16,15,5.33333,15,14,5.0,1,1,0.333333,133.571,91.7232,3.19695,0.00148621,0.011818700000000001,0.0949903,0.0312002,1,2,0,1,3,0,0,0,11,3,6,0,0,0,3,5,3,0
63,['org::eclipse::pde::internal::ui::wizards::plugin::NewLibraryPluginCreationOperation ,1,1,0,0,0,29,2,1,5,613,232,21.1379,416,170,14.3448,197,199,6.7931,175.857,97.6434,21.8404,0.210853,0.0487781,0.563558,0.068871,26,2,1,25,153,0,1,0,416,18,11,1,9,0,1,205,86,1
64,['org::eclipse::pde::internal::ui::correction::ChooseClassXMLResolution ,1,0,0,0,0,11,2,2,4,26,10,2.36364,33,23,3.0,-7,10,-0.636364,128.286,17.7967,9.25652,0.0108596,0.0285892,0.262784,0.0537596,5,3,1,4,6,0,0,6,19,4,17,0,0,0,3,10,6,0
65,['org::eclipse::pde::internal::ui::editor::contentassist::XMLElementProposalComputer ,1,0,0,0,0,4,0,0,2,53,40,13.25,79,66,19.75,-26,0,-6.5,100.14299999999999,59.6846,4.385,0.00606564,0.0188731,0.138801,0.0486389,8,1,0,8,28,0,0,0,129,8,6,0,8,0,0,55,27,0
66,['org::eclipse::pde::internal::core::WorkspacePluginModelManager ,1,1,1,1,0,19,2,0,4,889,224,46.7895,135,102,7.10526,754,224,39.6842,92.5714,16.5832,16.6538,0.152424,0.056770600000000004,0.48980500000000005,0.109758,26,3,1,25,231,0,2,1,314,22,30,2,4,0,2,194,93,1
67,['org::eclipse::pde::internal::ui::editor::toc::actions::TocRemoveObjectAction ,0,0,0,0,0,7,0,0,2,216,100,30.8571,15,9,2.1428599999999998,201,100,28.7143,61.1429,2.64087,4.33338,0.023859,0.018535299999999998,0.13685999999999998,0.047507199999999986,3,1,1,2,10,0,2,0,46,5,0,2,1,0,4,13,13,0
68,['org::eclipse::pde::internal::ui::wizards::plugin::NewPluginProjectWizard ,1,1,1,1,0,35,0,0,8,293,76,8.37143,286,104,8.17143,7,22,0.2,240.71400000000003,69.0843,18.4091,0.0459401,0.0634261,0.522088,0.170188,13,2,1,12,36,0,11,0,110,9,8,7,0,0,8,52,22,0
69,['org::eclipse::pde::internal::ui::editor::build::BuildClasspathSection ,1,1,0,0,0,38,2,0,8,715,146,18.8158,671,125,17.6579,44,82,1.1578899999999999,263.42900000000003,62.9702,17.8255,0.0436149,0.0373687,0.453107,0.045431400000000004,25,5,1,24,136,0,2,2,212,17,73,2,6,0,8,117,50,0
70,['org::eclipse::pde::internal::ui::correction::AddSingletonToSymbolicName ,1,1,0,0,0,10,1,1,3,123,52,12.3,16,6,1.6,107,52,10.7,150.571,9.13357,8.109539999999999,0.018524099999999998,0.0229354,0.22331700000000002,0.0424798,4,3,1,3,6,0,1,5,28,4,14,1,0,0,3,11,12,0
71,['org::eclipse::pde::internal::ui::views::dependencies::CallersContentProvider ,1,1,0,0,0,4,0,1,2,21,13,5.25,48,37,12.0,-27,0,-6.75,108.14299999999999,36.4082,4.69981,0.0169326,0.017266099999999996,0.140719,0.0394385,2,3,2,0,1,2,0,0,13,2,16,0,0,0,1,5,4,0
72,['org::eclipse::pde::internal::runtime::spy::SpyFormToolkit ,1,1,0,0,0,10,0,1,1,257,86,25.7,83,66,8.3,174,85,17.4,52.1429,10.075,7.0841199999999995,0.0647126,0.0398057,0.244579,0.127607,13,1,7,6,66,0,5,0,177,12,0,5,5,0,7,74,31,0
73,['org::eclipse::pde::internal::runtime::registry::ServiceReferenceAdapter ,1,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,2,6,0,0,1,15,4,5,0,0,0,3,8,5,0
74,['org::eclipse::pde::internal::ui::wizards::exports::BaseExportWizard ,1,1,1,0,1,48,1,0,7,920,132,19.1667,1041,305,21.6875,-121,78,-2.52083,297.57099999999997,45.7129,12.0569,0.0697004,0.0227136,0.29525500000000005,0.0344309,9,1,6,3,55,2,1,11,45,11,0,0,0,0,6,30,12,0
75,['org::eclipse::pde::internal::ui::tests::macro::PlaybackAction ,0,0,0,0,0,6,0,0,3,10,4,1.66667,10,4,1.66667,0,2,0.0,183.857,95.3429,7.264360000000001,0.00506713,0.0191685,0.19472,0.0373481,3,1,0,3,15,0,1,0,32,6,6,1,1,0,5,16,8,0
76,['org::eclipse::pde::internal::ui::editor::plugin::rows::TranslatableAttributeRow ,1,0,0,0,0,2,0,0,2,3,3,1.5,4,4,2.0,-1,0,-0.5,109.286,75.1429,1.76682,0.000174592,0.0100966,0.0617154,0.0339284,4,4,0,4,3,0,0,7,13,3,36,0,0,0,1,13,4,0
77,['org::eclipse::pde::internal::ui::wizards::product::NewProductFileWizard ,1,1,0,0,0,13,0,0,5,53,13,4.0769199999999985,40,11,3.07692,13,10,1.0,191.143,44.8544,15.5592,0.0195871,0.0318389,0.39123,0.0431759,6,1,1,5,15,0,1,0,32,6,0,1,1,0,4,21,7,0
78,['org::eclipse::pde::internal::ui::wizards::site::NewSiteProjectWizard ,1,1,0,0,0,19,1,0,6,391,281,20.5789,907,516,47.7368,-516,5,-27.1579,240.71400000000003,26.0142,10.2202,0.0121545,0.020681400000000003,0.254429,0.0344335,5,2,1,4,6,0,3,0,34,4,8,2,0,0,4,15,5,0
79,['org::eclipse::pde::internal::core::util::Headers ,1,1,0,0,0,2,0,0,1,2,2,1.0,5,5,2.5,-3,0,-1.5,72.4286,1.0,1.50465,0.00154681,0.0041253,0.041831699999999986,0.00433591,4,1,0,4,190,0,4,0,93,20,0,4,2,0,18,44,30,0
80,['org::eclipse::pde::internal::core::site::WorkspaceSiteModel ,1,1,0,0,0,22,1,0,9,107,24,4.86364,99,44,4.5,8,9,0.363636,302.57099999999997,137.40200000000002,8.48552,0.0318272,0.0192217,0.218306,0.0324314,13,5,5,8,105,0,4,2,95,15,80,4,0,0,13,45,20,0
81,['org::eclipse::pde::internal::ui::editor::schema::SchemaDtdDetailsSection ,1,0,0,0,0,2,0,0,2,10,10,5.0,17,17,8.5,-7,0,-3.5,60.2857,26.1429,1.76682,0.000673428,0.0100966,0.0617154,0.0339284,4,1,1,3,3,0,2,0,42,3,0,2,0,0,2,12,9,0
82,['org::eclipse::pde::internal::core::util::XMLComponentRegistry ,1,1,0,0,0,2,0,0,2,25,25,12.5,26,26,13.0,-1,0,-0.5,110.429,74.2857,1.77712,0.00198627,0.00961856,0.0609203,0.0309529,6,1,6,0,91,0,10,0,97,14,6,5,4,0,10,43,31,0
