,classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
10,org::eclipse::jdt::core::dom::MemberRef , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.0 , 0.0 , 2 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
11,org::eclipse::jdt::internal::core::util::Annotation , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
12,org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 166 , 0.0 , 0.0 , 9 , 0 , 0 , 0.0 , 0 , 0.0 , 1.0 , 0 , 0 , 0 , 0 , 0 , 
13,org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext , 0 , 0 , 0 , 0 , 33 , 0 , 7 , 41 , 247.0 , 3.0 , 2 , 6 , 0 , 1.0 , 3 , 88.0 , 59.0 , 0 , 0 , 0 , 0 , 0 , 
14,org::eclipse::jdt::internal::core::util::KeyKind , 0 , 0 , 0 , 0 , 58 , 0 , 3 , 1 , 14.0 , 4.0 , 8 , 1 , 0 , 0.0 , 4 , 4.0 , 5.0 , 0 , 0 , 0 , 0 , 0 , 
15,org::eclipse::jdt::core::dom::ChildListPropertyDescriptor , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
16,org::eclipse::jdt::internal::compiler::ast::TypeDeclaration , 15 , 2 , 13 , 5 , 26 , 0 , 6 , 165 , 78.0 , 1.0 , 2 , 0 , 1 , 0.0 , 2 , 21.0 , 18.0 , 3 , 0 , 0 , 0 , 0 , 
17,org::eclipse::jdt::core::dom::ASTRequestor , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
18,org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
19,org::eclipse::jdt::core::search::SearchPattern , 10 , 0 , 6 , 9 , 71 , 0 , 4 , 0 , 492.0 , 4.0 , 3 , 1 , 4 , 0.0 , 2 , 102.0 , 135.0 , 1 , 0 , 0 , 0 , 0 , 
20,org::eclipse::jdt::core::jdom::DOMFactory , 11 , 0 , 11 , 0 , 0 , 0 , 1 , 0 , 1.0 , 0.0 , 1 , 0 , 0 , 1.0 , 0 , 1.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
21,org::eclipse::jdt::internal::core::util::SignatureAttribute , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
22,org::eclipse::jdt::internal::core::BinaryMember , 16 , 0 , 5 , 11 , 58 , 0 , 0 , 3 , 96.0 , 5.0 , 26 , 0 , 3 , 0.0 , 1 , 41.0 , 22.0 , 1 , 0 , 0 , 0 , 0 , 
23,org::eclipse::jdt::internal::compiler::ast::MessageSend , 6 , 2 , 3 , 5 , 16 , 1 , 1 , 166 , 139.0 , 1.0 , 6 , 0 , 0 , 2.0 , 1 , 48.0 , 54.0 , 4 , 0 , 0 , 0 , 0 , 
24,org::eclipse::jdt::internal::core::XMLWriter , 6 , 1 , 1 , 5 , 44 , 0 , 4 , 0 , 99.0 , 9.0 , 9 , 4 , 4 , 0.0 , 5 , 41.0 , 28.0 , 0 , 0 , 0 , 0 , 0 , 
25,org::eclipse::jdt::internal::compiler::parser::JavadocParser , 6 , 0 , 4 , 2 , 90 , 4 , 4 , 86 , 401.0 , 5.0 , 13 , 3 , 0 , 1.0 , 0 , 73.0 , 138.0 , 3 , 0 , 0 , 0 , 0 , 
26,org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference , 2 , 2 , 0 , 2 , 0 , 0 , 0 , 166 , 17.0 , 0.0 , 15 , 0 , 0 , 0.0 , 0 , 6.0 , 4.0 , 2 , 0 , 0 , 0 , 0 , 
27,org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer , 1 , 0 , 0 , 1 , 24 , 0 , 4 , 104 , 64.0 , 3.0 , 6 , 0 , 0 , 4.0 , 3 , 13.0 , 13.0 , 0 , 0 , 0 , 0 , 0 , 
28,org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 11.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 5.0 , 0 , 0 , 0 , 0 , 0 , 
29,org::eclipse::jdt::internal::compiler::ast::Expression , 14 , 2 , 10 , 4 , 129 , 1 , 1 , 165 , 241.0 , 4.0 , 2 , 0 , 0 , 1.0 , 4 , 70.0 , 88.0 , 0 , 0 , 0 , 0 , 0 , 
30,org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0.0 , 0.0 , 6 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
31,org::eclipse::jdt::internal::core::util::ConstantPool , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
32,org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference , 1 , 2 , 1 , 0 , 0 , 0 , 0 , 166 , 2.0 , 0.0 , 10 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
33,org::eclipse::jdt::internal::compiler::impl::IntConstant , 5 , 0 , 4 , 1 , 11 , 0 , 15 , 9 , 23.0 , 1.0 , 1 , 15 , 1 , 0.0 , 0 , 3.0 , 17.0 , 0 , 0 , 0 , 0 , 0 , 
34,org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 14 , 32.0 , 0.0 , 15 , 0 , 0 , 1.0 , 0 , 3.0 , 12.0 , 1 , 0 , 0 , 0 , 0 , 
35,org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 167 , 0.0 , 0.0 , 6 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
36,org::eclipse::jdt::core::dom::SuperFieldAccess , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.0 , 0.0 , 5 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
37,org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot , 2 , 0 , 1 , 1 , 12 , 0 , 0 , 0 , 11.0 , 1.0 , 1 , 0 , 0 , 0.0 , 0 , 2.0 , 3.0 , 0 , 0 , 0 , 0 , 0 , 
38,org::eclipse::jdt::internal::compiler::lookup::MethodScope , 11 , 2 , 12 , 0 , 14 , 0 , 3 , 191 , 56.0 , 1.0 , 9 , 0 , 0 , 3.0 , 1 , 14.0 , 11.0 , 1 , 1 , 0 , 0 , 0 , 
39,org::eclipse::jdt::internal::compiler::CompilationResult , 14 , 0 , 13 , 3 , 166 , 0 , 13 , 0 , 173.0 , 8.0 , 1 , 4 , 1 , 9.0 , 7 , 39.0 , 55.0 , 1 , 0 , 0 , 0 , 0 , 
40,org::eclipse::jdt::internal::core::util::KeyToSignature , 2 , 0 , 1 , 1 , 164 , 0 , 4 , 1 , 148.0 , 8.0 , 8 , 3 , 1 , 0.0 , 7 , 64.0 , 29.0 , 0 , 0 , 0 , 0 , 0 , 
41,org::eclipse::jdt::internal::core::jdom::DOMType , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 3.0 , 0.0 , 4 , 1 , 0 , 0.0 , 0 , 6.0 , 1.0 , 0 , 0 , 0 , 0 , 0 , 
42,org::eclipse::jdt::internal::compiler::ast::ForStatement , 0 , 2 , 0 , 0 , 0 , 0 , 2 , 165 , 74.0 , 0.0 , 2 , 0 , 0 , 2.0 , 0 , 19.0 , 13.0 , 0 , 0 , 0 , 0 , 0 , 
43,org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
44,org::eclipse::jdt::internal::compiler::ast::TrueLiteral , 2 , 2 , 2 , 0 , 0 , 0 , 0 , 166 , 0.0 , 0.0 , 6 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
45,org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3 , 1 , 2 , 0 , 1 , 5 , 0 , 0 , 166 , 3.0 , 1.0 , 8 , 0 , 0 , 0.0 , 1 , 1.0 , 1.0 , 0 , 0 , 0 , 0 , 0 , 
46,org::eclipse::jdt::internal::formatter::FormatJavadocText , 0 , 0 , 0 , 1 , 58 , 0 , 0 , 8 , 99.0 , 4.0 , 5 , 0 , 0 , 0.0 , 1 , 25.0 , 35.0 , 0 , 0 , 0 , 0 , 0 , 
47,org::eclipse::jdt::internal::core::ImportDeclarationElementInfo , 0 , 0 , 0 , 0 , 6 , 0 , 2 , 0 , 9.0 , 3.0 , 7 , 0 , 0 , 2.0 , 3 , 3.0 , 3.0 , 0 , 0 , 0 , 0 , 0 , 
48,org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 3 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
49,org::eclipse::jdt::internal::compiler::ast::NormalAnnotation , 3 , 2 , 3 , 0 , 4 , 1 , 0 , 166 , 13.0 , 1.0 , 9 , 0 , 0 , 0.0 , 1 , 2.0 , 5.0 , 0 , 0 , 0 , 0 , 0 , 
50,org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding , 7 , 2 , 8 , 3 , 598 , 0 , 2 , 406 , 461.0 , 13.0 , 40 , 8 , 1 , 2.0 , 10 , 153.0 , 164.0 , 6 , 0 , 1 , 0 , 0 , 
51,org::eclipse::jdt::internal::core::SetContainerOperation , 1 , 0 , 0 , 1 , 14 , 0 , 0 , 0 , 20.0 , 4.0 , 1 , 0 , 4 , 0.0 , 0 , 12.0 , 11.0 , 0 , 0 , 0 , 0 , 0 , 
52,org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding , 5 , 0 , 4 , 2 , 25 , 0 , 0 , 0 , 27.0 , 3.0 , 0 , 0 , 2 , 0.0 , 3 , 16.0 , 9.0 , 0 , 0 , 0 , 0 , 0 , 
53,org::eclipse::jdt::internal::core::LRUCacheEnumerator , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
54,org::eclipse::jdt::internal::core::JavaModelInfo , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 4 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
55,org::eclipse::jdt::core::dom::MethodDeclaration , 9 , 0 , 9 , 0 , 100 , 0 , 0 , 1 , 21.0 , 3.0 , 3 , 0 , 0 , 0.0 , 0 , 17.0 , 6.0 , 0 , 0 , 0 , 0 , 0 , 
56,org::eclipse::jdt::internal::core::search::matching::AndPattern , 4 , 1 , 0 , 3 , 4 , 2 , 2 , 44 , 4.0 , 1.0 , 19 , 0 , 1 , 1.0 , 1 , 14.0 , 3.0 , 1 , 0 , 0 , 0 , 0 , 
57,org::eclipse::jdt::internal::eval::CodeSnippetSuperReference , 0 , 2 , 0 , 0 , 0 , 0 , 1 , 166 , 1.0 , 0.0 , 5 , 0 , 0 , 1.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
58,org::eclipse::jdt::internal::core::search::matching::OrPattern , 2 , 0 , 1 , 1 , 18 , 0 , 1 , 12 , 22.0 , 3.0 , 7 , 0 , 0 , 1.0 , 2 , 5.0 , 11.0 , 1 , 0 , 0 , 0 , 0 , 
59,org::eclipse::jdt::internal::core::util::HashSetOfArray , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
60,org::eclipse::jdt::internal::core::util::ClassFileStruct , 5 , 0 , 5 , 0 , 0 , 3 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
61,org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference , 1 , 2 , 0 , 1 , 0 , 0 , 0 , 166 , 5.0 , 0.0 , 10 , 0 , 0 , 0.0 , 0 , 4.0 , 2.0 , 0 , 0 , 0 , 0 , 0 , 
62,org::eclipse::jdt::internal::compiler::env::AccessRuleSet , 6 , 0 , 6 , 0 , 0 , 0 , 1 , 0 , 18.0 , 0.0 , 1 , 0 , 0 , 1.0 , 0 , 6.0 , 12.0 , 0 , 0 , 0 , 0 , 0 , 
63,org::eclipse::jdt::internal::core::search::indexing::IndexAllProject , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 33.0 , 0.0 , 3 , 0 , 0 , 0.0 , 0 , 9.0 , 1.0 , 0 , 0 , 0 , 0 , 0 , 
64,org::eclipse::jdt::internal::compiler::codegen::ObjectCache , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 3.0 , 0 , 0 , 0 , 0 , 0 , 
65,org::eclipse::jdt::internal::core::util::ClassFileAttribute , 2 , 0 , 2 , 0 , 0 , 2 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
66,org::eclipse::jdt::internal::compiler::ast::ForeachStatement , 3 , 2 , 0 , 3 , 0 , 0 , 1 , 165 , 86.0 , 0.0 , 2 , 1 , 0 , 0.0 , 0 , 38.0 , 20.0 , 2 , 0 , 0 , 0 , 0 , 
67,org::eclipse::jdt::core::dom::NodeEventHandler , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
68,org::eclipse::jdt::internal::eval::CodeSnippetClassFile , 4 , 2 , 0 , 4 , 0 , 0 , 0 , 138 , 37.0 , 0.0 , 12 , 0 , 0 , 0.0 , 0 , 9.0 , 13.0 , 1 , 0 , 0 , 0 , 0 , 
69,org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext , 0 , 0 , 0 , 0 , 7 , 0 , 1 , 41 , 207.0 , 1.0 , 2 , 0 , 0 , 1.0 , 1 , 78.0 , 51.0 , 0 , 0 , 0 , 0 , 0 , 
70,org::eclipse::jdt::internal::compiler::SourceJavadocParser , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 55 , 78.0 , 0.0 , 7 , 0 , 0 , 0.0 , 0 , 19.0 , 40.0 , 0 , 0 , 0 , 0 , 0 , 
71,org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding , 3 , 2 , 1 , 2 , 0 , 0 , 0 , 406 , 25.0 , 0.0 , 40 , 0 , 0 , 0.0 , 0 , 8.0 , 6.0 , 0 , 0 , 0 , 0 , 0 , 
72,org::eclipse::jdt::internal::core::CreateImportOperation , 7 , 0 , 0 , 7 , 6 , 0 , 1 , 3 , 24.0 , 1.0 , 8 , 0 , 0 , 0.0 , 0 , 25.0 , 7.0 , 0 , 0 , 0 , 0 , 0 , 
73,org::eclipse::jdt::internal::core::builder::ReferenceCollection , 2 , 0 , 1 , 1 , 4 , 0 , 0 , 0 , 37.0 , 1.0 , 1 , 0 , 0 , 0.0 , 4 , 10.0 , 8.0 , 1 , 0 , 0 , 0 , 0 , 
74,org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression , 2 , 2 , 0 , 2 , 0 , 0 , 0 , 166 , 12.0 , 0.0 , 6 , 0 , 0 , 0.0 , 0 , 9.0 , 7.0 , 1 , 0 , 0 , 0 , 0 , 
75,org::eclipse::jdt::core::dom::NodeSearcher , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
76,org::eclipse::jdt::internal::core::util::AnnotationComponent , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
77,org::eclipse::jdt::core::dom::BreakStatement , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.0 , 0.0 , 2 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
78,org::eclipse::jdt::internal::core::ASTHolderCUInfo , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0.0 , 0.0 , 6 , 0 , 0 , 3.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
79,org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType , 1 , 2 , 0 , 1 , 0 , 0 , 0 , 163 , 0.0 , 0.0 , 2 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
80,org::eclipse::jdt::internal::compiler::ast::ImportReference , 7 , 2 , 6 , 1 , 0 , 1 , 2 , 165 , 7.0 , 0.0 , 2 , 0 , 0 , 2.0 , 0 , 1.0 , 3.0 , 0 , 0 , 0 , 0 , 0 , 
81,org::eclipse::jdt::internal::core::builder::ClasspathJar , 1 , 0 , 1 , 0 , 17 , 0 , 1 , 0 , 12.0 , 2.0 , 2 , 0 , 0 , 1.0 , 2 , 9.0 , 5.0 , 0 , 0 , 0 , 0 , 0 , 
82,org::eclipse::jdt::internal::eval::VariablesInfo , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
83,org::eclipse::jdt::internal::core::DeleteResourceElementsOperation , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 4 , 0 , 0 , 0.0 , 0 , 1.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
84,org::eclipse::jdt::internal::core::InternalNamingConventions , 3 , 0 , 0 , 3 , 19 , 0 , 0 , 0 , 127.0 , 2.0 , 1 , 0 , 1 , 0.0 , 1 , 17.0 , 30.0 , 2 , 0 , 0 , 0 , 0 , 
85,org::eclipse::jdt::internal::core::search::IndexQueryRequestor , 1 , 0 , 1 , 0 , 0 , 2 , 0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
86,org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 41 , 2.0 , 0.0 , 2 , 0 , 0 , 0.0 , 0 , 2.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
87,org::eclipse::jdt::core::dom::LineComment , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0.0 , 0.0 , 2 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
88,org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference , 0 , 2 , 0 , 0 , 0 , 2 , 0 , 166 , 3.0 , 0.0 , 7 , 0 , 0 , 0.0 , 0 , 0.0 , 1.0 , 0 , 0 , 0 , 0 , 0 , 
89,org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement , 2 , 2 , 0 , 2 , 13 , 0 , 2 , 165 , 19.0 , 2.0 , 2 , 0 , 0 , 1.0 , 2 , 4.0 , 4.0 , 0 , 0 , 0 , 0 , 0 , 
90,org::eclipse::jdt::internal::compiler::ProcessTaskManager , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 20.0 , 0.0 , 0 , 1 , 0 , 1.0 , 0 , 6.0 , 5.0 , 0 , 0 , 0 , 0 , 0 , 
91,org::eclipse::jdt::core::dom::SwitchStatement , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.0 , 0.0 , 2 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
92,org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 23 , 16.0 , 1.0 , 4 , 0 , 0 , 0.0 , 0 , 4.0 , 7.0 , 1 , 0 , 0 , 0 , 0 , 
93,org::eclipse::jdt::internal::core::SourceMethod , 6 , 0 , 2 , 5 , 172 , 0 , 0 , 4 , 79.0 , 7.0 , 37 , 0 , 0 , 0.0 , 5 , 34.0 , 22.0 , 0 , 0 , 0 , 0 , 0 , 
94,org::eclipse::jdt::internal::core::hierarchy::IndexBasedHierarchyBuilder , 3 , 0 , 0 , 3 , 0 , 0 , 1 , 12 , 49.0 , 0.0 , 2 , 0 , 0 , 0.0 , 0 , 15.0 , 15.0 , 0 , 0 , 0 , 0 , 0 , 
95,org::eclipse::jdt::internal::core::util::CommentRecorderScanner , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 30 , 0.0 , 0.0 , 9 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 1 , 0 , 0 , 0 , 0 , 
96,org::eclipse::jdt::internal::core::util::StackMapAttribute , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
97,org::eclipse::jdt::core::dom::SuperMethodInvocation , 0 , 0 , 0 , 0 , 18 , 0 , 0 , 1 , 3.0 , 1.0 , 5 , 0 , 0 , 0.0 , 1 , 3.0 , 1.0 , 0 , 0 , 0 , 0 , 0 , 
98,org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 164 , 0.0 , 0.0 , 2 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
99,org::eclipse::jdt::internal::formatter::old::CodeFormatter , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0.0 , 0.0 , 1 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
100,org::eclipse::jdt::internal::compiler::lookup::CaptureBinding , 4 , 2 , 1 , 5 , 29 , 0 , 1 , 394 , 184.0 , 3.0 , 37 , 0 , 0 , 1.0 , 3 , 59.0 , 37.0 , 0 , 0 , 0 , 0 , 0 , 
101,org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding , 5 , 2 , 3 , 2 , 5 , 0 , 0 , 246 , 9.0 , 1.0 , 13 , 0 , 0 , 0.0 , 1 , 4.0 , 2.0 , 0 , 0 , 0 , 0 , 0 , 
102,org::eclipse::jdt::internal::compiler::ast::FieldDeclaration , 10 , 2 , 2 , 8 , 7 , 0 , 1 , 165 , 65.0 , 1.0 , 3 , 0 , 0 , 1.0 , 1 , 25.0 , 27.0 , 0 , 0 , 0 , 0 , 0 , 
103,org::eclipse::jdt::internal::compiler::lookup::InferenceContext , 1 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 7.0 , 0.0 , 0 , 0 , 0 , 2.0 , 0 , 6.0 , 2.0 , 0 , 0 , 0 , 0 , 0 , 
