,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed: 24
17,org::eclipse::jdt::core::dom::ASTRequestor ,2,2,0,0,0,12,2,0,5,228,53,19.0,162,35,13.5,66,40,5.5,193.571,4.72807,2.96868,0.00114952,0.0034669,0.06670910000000001,6.29834e-05,1,1,1,1,6,1,1,0,20,4,8,0,0,1,3,5,6,0,0,0,0,0, 
18,org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope ,1,1,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,7.857139999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0,1,2,0,5,0,2,19,0,0,0,2,2,0,0,0,0,0,0, 
19,org::eclipse::jdt::core::search::SearchPattern ,37,31,1,0,1,91,8,0,9,6880,1627,75.6044,5271,1359,57.9231,1609,583,17.6813,236.0,96.0161,28.279,0.884194,0.0785823,0.764092,0.165991,36,2,18,23,190,2,12,3,1126,20,13,2,6,0,14,244,276,1,0,0,0,0, 
20,org::eclipse::jdt::core::jdom::DOMFactory ,3,2,0,0,0,35,6,0,7,405,155,11.5714,409,155,11.6857,-4,12,-0.114286,367.0,46.4272,8.22982,0.00609829,0.154538,8.14431,0.231997,4,1,1,3,45,0,1,0,52,10,17,0,0,1,10,34,17,0,0,0,0,0, 
21,org::eclipse::jdt::internal::core::util::SignatureAttribute ,0,0,0,0,0,6,3,0,3,104,49,17.3333,6,4,1.0,98,49,16.3333,228.857,14.8173,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,6,3,3,3,3,0,2,1,16,3,31,2,0,0,2,8,4,0,0,0,0,0, 
22,org::eclipse::jdt::internal::core::BinaryMember ,10,7,1,0,2,43,6,0,6,409,105,9.51163,317,110,7.372089999999999,92,79,2.13953,367.0,133.861,15.7424,0.0310248,0.149122,8.29536,0.216848,18,6,3,15,91,3,0,53,127,14,170,0,1,0,10,61,29,1,0,0,0,0, 
23,org::eclipse::jdt::internal::compiler::ast::MessageSend ,37,31,3,3,0,168,12,0,10,2126,307,12.6548,1719,307,10.2321,407,63,2.42262,367.0,129.876,30.738,0.109581,0.197734,8.7181,0.317602,22,4,5,17,136,5,13,384,494,17,77,0,0,13,17,191,166,4,0,0,0,0, 
24,org::eclipse::jdt::internal::core::XMLWriter ,4,4,0,0,0,20,4,0,7,115,14,5.75,175,94,8.75,-60,5,-3.0,244.571,99.8596,10.5335,0.0340213,0.0166018,0.252483,0.00498488,2,2,2,0,0,0,0,0,3,1,43,0,0,0,1,2,1,0,0,0,0,0, 
25,org::eclipse::jdt::internal::compiler::parser::JavadocParser ,59,50,5,2,3,92,12,0,9,2972,319,32.3043,3264,892,35.4783,-292,168,-3.17391,239.143,49.4217,24.2321,0.124182,0.0943869,0.704466,0.193358,27,2,7,20,210,4,6,133,795,21,46,4,0,2,3,171,212,3,0,0,0,0, 
26,org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference ,16,15,3,2,0,76,10,0,7,1763,600,23.1974,1852,600,24.3684,-89,43,-1.17105,367.0,81.0014,17.8868,0.0596056,0.184833,8.41605,0.337749,21,7,1,20,55,0,2,448,591,11,115,0,0,2,11,220,156,2,0,0,0,0, 
27,org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer ,6,5,0,0,2,54,8,0,7,740,243,13.7037,669,243,12.3889,71,85,1.31481,367.0,94.1838,10.2069,0.0394717,0.171941,8.22695,0.299491,9,3,1,8,45,0,7,126,166,10,44,0,0,7,10,40,39,0,0,0,0,0, 
28,org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray ,1,1,0,0,0,4,1,0,4,18,17,4.5,7,6,1.75,11,11,2.75,141.714,23.2937,2.27054,0.00171284,0.00387962,0.05579119999999999,0.0007239010000000001,3,1,0,3,45,0,4,0,144,10,8,0,3,4,7,40,37,0,0,0,0,0, 
29,org::eclipse::jdt::internal::compiler::ast::Expression ,57,51,11,8,0,149,12,0,11,5262,483,35.3154,4660,483,31.2752,602,226,4.04027,367.0,148.462,33.6845,0.638785,0.210199,8.79785,0.334186,108,3,92,18,528,15,4,380,760,33,38,0,2,4,31,281,234,0,0,0,0,0, 
30,org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations ,0,0,0,0,0,2,1,0,2,1,1,0.5,1,1,0.5,0,0,0.0,127.0,69.2857,1.06049,0.000678105,0.00371141,0.0316289,0.00673218,5,3,3,3,10,1,1,13,35,5,55,0,0,0,1,12,13,0,0,0,0,0, 
31,org::eclipse::jdt::internal::core::util::ConstantPool ,0,0,0,0,0,10,4,0,3,60,32,6.0,61,33,6.1,-1,0,-0.1,322.714,97.4809,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,3,2,1,2,10,0,3,0,72,5,22,3,1,0,3,55,15,0,0,0,0,0, 
32,org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference ,4,4,0,0,0,47,7,0,5,320,52,6.808510000000001,262,52,5.57447,58,20,1.23404,367.0,92.4138,6.734439999999999,0.00399605,0.132755,8.07051,0.197855,7,6,5,3,15,2,2,385,52,6,95,0,0,2,5,17,12,0,0,0,0,0, 
33,org::eclipse::jdt::internal::compiler::impl::IntConstant ,1,1,0,0,0,37,6,0,6,284,64,7.675680000000001,258,64,6.97297,26,22,0.702703,367.0,81.749,6.771039999999999,0.00888686,0.0101348,0.160922,0.00120756,5,2,5,0,66,0,16,152,55,12,41,15,1,1,11,14,27,0,0,0,0,0, 
34,org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern ,11,9,0,0,0,82,7,0,8,2577,325,31.4268,2733,325,33.3293,-156,81,-1.90244,367.0,77.5985,12.566,0.0182439,0.1376,8.204889999999999,0.177692,7,4,1,6,28,0,15,61,214,8,45,0,0,10,5,47,53,1,0,0,0,0, 
35,org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ,0,0,0,0,0,29,4,0,5,184,69,6.34483,185,69,6.37931,-1,6,-0.0344828,367.0,49.3261,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,5,6,1,4,3,0,0,394,32,3,102,0,0,0,3,17,11,0,0,0,0,0, 
36,org::eclipse::jdt::core::dom::SuperFieldAccess ,10,9,0,0,0,39,14,0,7,465,167,11.9231,264,167,6.76923,201,74,5.15385,333.143,70.569,7.954789999999999,0.00397769,0.154542,8.1394,0.232145,5,3,1,5,105,0,5,95,96,15,73,3,0,0,6,51,25,0,0,0,0,0, 
37,org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot ,5,2,0,0,1,7,0,0,1,23,11,3.28571,6,4,0.857143,17,10,2.42857,16.0,2.03106,2.27131,0.00266082,0.041741,0.134373,0.141951,6,5,1,5,78,0,1,62,56,13,202,0,0,0,8,22,20,0,0,0,0,0, 
38,org::eclipse::jdt::internal::compiler::lookup::MethodScope ,24,20,3,1,1,89,9,0,9,2001,399,22.4831,1889,399,21.2247,112,117,1.25843,367.0,118.103,14.8368,0.135188,0.0280398,0.367434,0.0304744,55,3,44,15,105,0,12,274,378,15,103,0,2,12,11,93,110,1,1,0,0,0, 
39,org::eclipse::jdt::internal::compiler::CompilationResult ,22,16,0,0,0,81,18,0,9,1835,349,22.6543,1569,379,19.3704,266,79,3.28395,367.0,130.299,23.6109,0.153622,0.170381,8.5032,0.243506,31,1,24,7,190,0,24,0,245,20,8,3,3,21,17,72,72,1,0,0,0,0, 
40,org::eclipse::jdt::internal::core::util::KeyToSignature ,18,17,4,0,0,32,1,0,4,413,92,12.9062,122,26,3.8125,291,80,9.09375,175.714,24.9862,14.3292,0.0621304,0.0250814,0.349752,0.0189098,5,2,2,3,300,0,13,2,258,25,41,8,1,1,24,130,56,0,0,0,0,0, 
41,org::eclipse::jdt::internal::core::jdom::DOMType ,11,11,2,2,0,58,11,0,7,1851,721,31.9138,1730,721,29.8276,121,77,2.08621,367.0,49.3741,12.0518,0.00989231,0.0193642,0.290484,0.005178899999999999,14,4,4,11,703,0,14,50,419,38,185,0,0,0,20,162,94,0,0,0,0,0, 
42,org::eclipse::jdt::internal::compiler::ast::ForStatement ,18,16,2,1,1,86,11,0,8,1629,335,18.9419,1535,335,17.8488,94,65,1.09302,367.0,76.4774,16.4642,0.0287867,0.0286204,0.403196,0.0152769,11,3,0,11,15,0,11,380,343,6,38,2,0,9,6,106,91,0,0,0,0,0, 
43,org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding ,1,1,0,0,0,2,1,0,2,1,1,0.5,1,1,0.5,0,0,0.0,16.5714,13.5714,1.47165,0.0013687,0.112489,7.91776,0.140566,3,5,1,2,10,0,0,58,34,5,179,0,0,0,4,12,7,0,0,0,0,0, 
44,org::eclipse::jdt::internal::compiler::ast::TrueLiteral ,2,2,1,1,0,24,5,0,4,167,70,6.95833,174,70,7.25,-7,8,-0.291667,367.0,66.3601,7.2883,0.00322632,0.0120812,0.177191,0.00316137,3,6,1,2,21,0,1,384,39,7,79,0,0,0,7,14,11,0,0,0,0,0, 
45,org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3 ,2,0,0,0,0,11,4,0,6,21,4,1.90909,17,4,1.54545,4,3,0.363636,282.0,82.7755,6.93237,0.00313282,0.00985736,0.162632,0.00115402,1,7,1,0,15,0,1,419,21,6,118,1,0,0,6,10,6,0,0,0,0,0, 
46,org::eclipse::jdt::internal::formatter::FormatJavadocText ,7,6,1,0,1,7,2,0,2,139,75,19.8571,28,13,4.0,111,63,15.8571,9.14286,1.58068,1.69533,0.0394985,0.04468869999999999,0.127957,0.126468,6,2,3,4,136,0,7,119,197,17,16,1,1,6,7,54,68,0,0,0,0,0, 
47,org::eclipse::jdt::internal::core::ImportDeclarationElementInfo ,3,3,0,0,0,10,3,0,6,16,5,1.6,28,18,2.8,-12,5,-1.2,271.0,86.4107,5.33714,0.00382679,0.00771314,0.1256,0.00106076,1,4,1,0,0,0,0,7,0,1,28,0,0,0,1,1,0,0,0,0,0,0, 
48,org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader ,4,3,1,0,0,7,6,0,1,12,4,1.71429,10,4,1.42857,2,2,0.285714,168.857,93.3452,3.17525,0.00223339,0.00797677,0.0850172,0.0117179,5,1,2,3,55,2,7,0,81,11,28,7,0,0,5,29,21,0,0,0,0,0, 
49,org::eclipse::jdt::internal::compiler::ast::NormalAnnotation ,2,1,0,0,0,18,9,1,6,211,84,11.7222,53,14,2.94444,158,84,8.77778,222.714,21.6087,8.43551,0.00627586,0.142794,8.12637,0.214433,6,5,4,2,10,1,1,388,45,5,78,0,0,1,5,13,16,0,0,0,0,0, 
50,org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding ,74,67,16,5,0,224,16,0,12,6579,1041,29.3705,5717,1041,25.5223,862,146,3.84821,367.0,115.991,39.1311,0.285371,0.244915,8.988539999999999,0.430462,55,4,32,32,1275,1,15,49,1461,51,148,8,2,7,43,446,456,6,0,1,0,0, 
51,org::eclipse::jdt::internal::core::SetContainerOperation ,5,5,3,1,0,10,2,0,2,86,60,8.6,62,51,6.2,24,9,2.4,105.0,22.3239,6.98868,0.0227382,0.0643822,0.298201,0.136898,14,3,1,13,15,0,3,19,167,6,67,0,4,3,1,51,36,0,0,0,0,0, 
52,org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding ,4,3,0,0,1,12,3,0,5,233,165,19.4167,78,34,6.5,155,131,12.9167,184.714,78.8087,9.16287,0.0392627,0.152103,8.16642,0.248182,13,1,8,6,45,1,2,0,151,10,8,0,3,2,6,53,53,0,0,0,0,0, 
53,org::eclipse::jdt::internal::core::LRUCacheEnumerator ,0,0,0,0,0,15,4,0,5,121,69,8.06667,119,69,7.933330000000001,2,6,0.133333,367.0,68.9906,5.079330000000001,0.00335126,0.00762499,0.120678,0.00111852,1,1,1,0,3,0,1,0,11,3,8,0,0,0,3,3,3,0,0,0,0,0, 
54,org::eclipse::jdt::internal::core::JavaModelInfo ,2,2,0,0,0,27,5,0,5,152,42,5.629630000000001,182,32,6.74074,-30,41,-1.11111,367.0,62.4445,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,3,3,1,2,3,0,1,3,27,3,17,0,1,1,1,7,8,0,0,0,0,0, 
55,org::eclipse::jdt::core::dom::MethodDeclaration ,15,13,0,0,1,73,16,0,8,2096,439,28.7123,1160,439,15.8904,936,282,12.8219,333.143,84.0883,7.18067,0.0119023,0.151655,8.114310000000001,0.230995,15,3,8,9,595,0,23,97,319,35,84,11,0,0,18,156,81,0,0,0,0,0, 
56,org::eclipse::jdt::internal::core::search::matching::AndPattern ,4,4,0,0,0,50,6,0,8,574,115,11.48,707,115,14.14,-133,14,-2.66,367.0,119.907,13.8528,0.06864719999999999,0.141381,8.23988,0.18781,2,5,1,2,10,0,2,61,50,5,49,0,1,1,1,10,15,1,0,0,0,0, 
57,org::eclipse::jdt::internal::eval::CodeSnippetSuperReference ,1,0,0,0,0,26,6,0,6,112,54,4.30769,89,54,3.42308,23,7,0.8846149999999999,355.714,79.8367,10.8205,0.0061972,0.0195642,0.267914,0.00981523,3,7,1,2,28,0,0,398,25,8,107,0,0,0,8,10,8,0,0,0,0,0, 
58,org::eclipse::jdt::internal::core::search::matching::OrPattern ,6,4,0,0,0,60,3,0,7,986,170,16.4333,1102,170,18.3667,-116,35,-1.93333,367.0,74.1623,7.860639999999999,0.0275474,0.137064,8.10379,0.219378,8,3,2,7,28,0,2,52,69,8,27,0,0,1,5,24,25,1,0,0,0,0, 
59,org::eclipse::jdt::internal::core::util::HashSetOfArray ,1,1,0,0,0,3,0,0,1,149,149,49.6667,149,149,49.6667,0,149,0.0,60.0,1.28571,1.29561,0.0693099,0.00438967,0.0382717,0.00748615,5,1,1,4,36,0,3,0,109,9,16,0,2,3,7,30,31,0,0,0,0,0, 
60,org::eclipse::jdt::internal::core::util::ClassFileStruct ,0,0,0,0,0,14,4,0,5,53,9,3.78571,61,9,4.35714,-8,0,-0.571429,322.714,68.9003,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,35,1,32,3,55,16,0,0,85,11,8,0,0,0,0,16,21,0,0,0,0,0, 
61,org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference ,3,3,0,0,0,37,6,0,6,177,65,4.78378,167,65,4.51351,10,11,0.27027,367.0,82.0153,6.70304,0.00573407,0.152618,8.10942,0.231938,7,6,2,5,10,0,0,385,35,5,95,0,0,0,4,24,11,0,0,0,0,0, 
62,org::eclipse::jdt::internal::compiler::env::AccessRuleSet ,9,8,1,0,0,16,2,0,4,151,30,9.4375,109,31,6.8125,42,19,2.625,169.143,46.8515,11.1338,0.0324992,0.0214973,0.276308,0.0274661,16,1,11,5,10,0,3,0,62,5,8,1,0,2,5,18,22,0,0,0,0,0, 
63,org::eclipse::jdt::internal::core::search::indexing::IndexAllProject ,10,7,1,0,0,110,7,0,9,1350,176,12.2727,1190,176,10.8182,160,30,1.45455,367.0,92.3705,12.1787,0.0366249,0.01769,0.287275,0.00204809,13,2,1,13,15,0,1,8,207,6,19,0,0,1,5,58,30,0,0,0,0,0, 
64,org::eclipse::jdt::internal::compiler::codegen::ObjectCache ,1,1,0,0,0,31,2,0,6,571,152,18.4194,578,152,18.6452,-7,6,-0.225806,367.0,61.5161,3.42081,0.00462944,0.00487674,0.0802947,0.00055128,3,1,1,2,36,0,4,0,83,9,8,0,1,4,8,24,25,0,0,0,0,0, 
65,org::eclipse::jdt::internal::core::util::ClassFileAttribute ,0,0,0,0,0,10,4,0,3,29,9,2.9,30,10,3.0,-1,0,-0.1,322.714,50.9852,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,7,2,4,3,6,17,4,0,18,4,22,3,0,0,4,10,5,0,0,0,0,0, 
66,org::eclipse::jdt::internal::compiler::ast::ForeachStatement ,24,21,2,1,0,84,31,0,8,2092,395,24.9048,1163,62,13.8452,929,395,11.0595,223.429,46.9666,23.6077,0.269073,0.0477337,0.59548,0.0542082,19,3,0,19,15,0,21,380,451,6,38,11,0,10,6,172,84,2,0,0,0,0, 
67,org::eclipse::jdt::core::dom::NodeEventHandler ,2,1,0,0,0,14,4,0,4,279,92,19.9286,43,10,3.07143,236,88,16.8571,224.857,8.69329,6.44569,0.00981633,0.009507799999999999,0.152559,0.00123383,1,1,1,0,55,1,0,0,43,11,8,0,0,0,0,11,11,0,0,0,0,0, 
68,org::eclipse::jdt::internal::eval::CodeSnippetClassFile ,12,10,0,0,0,61,13,0,8,667,241,10.9344,705,241,11.5574,-38,5,-0.622951,367.0,79.6989,19.6547,0.0201623,0.042134,0.502398,0.05419790000000001,13,2,1,12,1,0,0,270,166,2,48,0,0,0,2,42,29,1,0,0,0,0, 
69,org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext ,8,8,1,0,0,36,3,0,5,842,188,23.3889,593,97,16.4722,249,123,6.91667,367.0,157.823,7.61486,0.065214,0.0158234,0.194937,0.0123144,8,2,1,7,28,0,7,141,264,8,35,0,0,7,5,85,63,0,0,0,0,0, 
70,org::eclipse::jdt::internal::compiler::SourceJavadocParser ,6,5,0,0,0,13,2,0,4,74,29,5.69231,50,29,3.84615,24,29,1.84615,139.714,13.749,7.113689999999999,0.0051027,0.0112972,0.171667,0.00153047,6,3,1,5,6,0,2,135,107,4,67,0,0,2,2,24,49,0,0,0,0,0, 
71,org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding ,7,7,2,0,0,50,6,0,8,271,42,5.42,217,42,4.34,54,27,1.08,367.0,128.633,12.5452,0.0197347,0.145537,8.220939999999999,0.211069,11,4,6,6,15,0,2,49,64,6,148,0,0,2,2,18,18,0,0,0,0,0, 
72,org::eclipse::jdt::internal::core::CreateImportOperation ,8,8,2,1,0,49,4,0,7,405,136,8.265310000000001,338,136,6.89796,67,17,1.36735,367.0,104.855,15.9473,0.0267405,0.150379,8.29942,0.210012,17,3,2,15,21,0,2,25,83,7,82,0,0,0,3,49,20,0,0,0,0,0, 
73,org::eclipse::jdt::internal::core::builder::ReferenceCollection ,6,5,0,0,0,28,6,0,7,407,225,14.5357,365,225,13.0357,42,32,1.5,329.0,74.1846,8.432,0.0154394,0.132469,8.10494,0.18682,8,1,3,5,10,1,10,0,140,5,8,0,0,4,4,37,48,1,0,0,0,0, 
74,org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression ,13,13,1,0,0,74,8,0,8,1181,247,15.9595,1310,247,17.7027,-129,33,-1.74324,367.0,74.9741,16.213,0.010783,0.0268068,0.393339,0.00911055,8,5,0,8,21,0,2,412,70,7,94,0,0,2,7,39,18,1,0,0,0,0, 
75,org::eclipse::jdt::core::dom::NodeSearcher ,1,0,0,0,0,9,4,0,4,17,4,1.88889,21,6,2.33333,-4,0,-0.444444,256.571,48.3193,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,1,2,1,0,1,0,3,0,11,2,11,0,0,3,1,2,4,0,0,0,0,0, 
76,org::eclipse::jdt::internal::core::util::AnnotationComponent ,0,0,0,0,0,6,3,0,3,148,71,24.6667,6,4,1.0,142,71,23.6667,222.857,10.582,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,5,2,1,4,10,0,4,0,27,5,22,4,0,0,4,12,7,0,0,0,0,0, 
77,org::eclipse::jdt::core::dom::BreakStatement ,6,5,0,0,0,34,12,0,7,316,123,9.29412,181,123,5.32353,135,60,3.97059,333.143,70.9878,7.954789999999999,0.00397769,0.154542,8.1394,0.232145,4,3,1,3,66,0,3,95,59,12,73,2,0,0,3,35,16,0,0,0,0,0, 
78,org::eclipse::jdt::internal::core::ASTHolderCUInfo ,4,3,0,0,0,13,4,0,7,52,17,4.0,7,4,0.538462,45,17,3.46154,226.571,29.2555,7.689439999999999,0.00208409,0.0130856,0.187608,0.00572797,1,4,1,0,0,0,5,6,0,1,21,0,0,5,1,1,0,0,0,0,0,0, 
79,org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType ,1,1,0,0,0,11,4,0,5,18,5,1.63636,21,5,1.90909,-3,0,-0.272727,319.714,89.1905,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,2,4,1,1,3,0,0,410,12,3,66,0,0,0,3,5,3,0,0,0,0,0, 
80,org::eclipse::jdt::internal::compiler::ast::ImportReference ,2,2,0,0,1,44,9,0,6,292,61,6.636360000000001,271,61,6.15909,21,16,0.4772729999999999,367.0,78.2143,7.7102,0.00581399,0.0150364,0.194204,0.0103768,20,2,20,0,10,5,7,380,35,5,27,0,0,7,5,10,10,0,0,0,0,0, 
