,Unnamed: 0,classname,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed: 22
52,246,org::eclipse::jdt::internal::core::CopyResourceElementsOperation ,131,20,0,7,2700.0,580.0,20.6107,2515.0,580.0,19.1985,185.0,42.0,1.41221,367.0,79.1748,1,0,0,0,0, 
53,251,org::eclipse::jdt::internal::compiler::lookup::PackageBinding ,59,7,0,9,588.0,205.0,9.9661,594.0,205.0,10.0678,-6.0,21.0,-0.10169500000000001,367.0,79.0481,4,0,3,1,0, 
54,258,org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants ,119,55,0,9,8425.0,2042.0,70.7983,2635.0,594.0,22.1429,5790.0,2013.0,48.6555,246.571,30.3109,2,1,0,0,0, 
55,263,org::eclipse::jdt::internal::codeassist::complete::CompletionParser ,244,19,0,8,10254.0,1386.0,42.0246,5777.0,1386.0,23.6762,4477.0,564.0,18.3484,367.0,132.341,1,0,0,0,0, 
56,286,org::eclipse::jdt::internal::core::search::matching::MatchLocatorParser ,109,15,0,8,2519.0,442.0,23.1101,1822.0,290.0,16.7156,697.0,213.0,6.3945,367.0,155.613,0,0,0,0,0, 
57,289,org::eclipse::jdt::internal::compiler::lookup::UpdatedMethodBinding ,7,3,0,5,11.0,4.0,1.5714299999999999,8.0,4.0,1.14286,3.0,3.0,0.428571,264.857,94.5714,1,0,0,0,0, 
58,293,org::eclipse::jdt::internal::core::PackageFragmentRoot ,157,13,0,8,2349.0,392.0,14.9618,1852.0,392.0,11.7962,497.0,295.0,3.16561,367.0,94.4644,1,0,0,0,0, 
59,294,org::eclipse::jdt::core::util::CompilationUnitSorter ,45,17,0,8,1126.0,157.0,25.0222,729.0,306.0,16.2,397.0,148.0,8.82222,281.714,67.46,0,0,0,0,0, 
60,295,org::eclipse::jdt::internal::compiler::ast::Annotation ,78,15,1,7,1262.0,219.0,16.1795,1014.0,246.0,13.0,248.0,205.0,3.17949,255.71400000000003,64.8228,1,0,0,0,0, 
61,296,org::eclipse::jdt::internal::compiler::ast::JavadocFieldReference ,44,10,0,7,244.0,31.0,5.54545,174.0,21.0,3.95455,70.0,17.0,1.59091,239.143,57.1985,1,0,0,0,0, 
62,300,org::eclipse::jdt::internal::compiler::ClassFile ,226,71,0,10,50221.0,3693.0,222.217,44127.0,2958.0,195.252,6094.0,2050.0,26.9646,367.0,91.0942,6,1,1,0,0, 
63,301,org::eclipse::jdt::internal::core::ClasspathChange ,15,2,0,2,120.0,27.0,8.0,48.0,20.0,3.2,72.0,26.0,4.8,105.0,60.5952,1,0,0,0,0, 
64,303,org::eclipse::jdt::core::Signature ,127,24,0,10,8666.0,1365.0,68.2362,5536.0,1365.0,43.5905,3130.0,546.0,24.6457,367.0,112.494,1,0,0,0,0, 
65,310,org::eclipse::jdt::internal::compiler::parser::Scanner ,239,59,0,10,14272.0,3055.0,59.7155,13174.0,3055.0,55.1213,1098.0,269.0,4.59414,367.0,80.6008,1,0,0,0,0, 
66,313,org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedMethodsPattern ,31,8,0,7,212.0,105.0,6.838710000000001,280.0,105.0,9.03226,-68.0,8.0,-2.19355,343.0,54.0222,1,0,0,0,0, 
67,317,org::eclipse::jdt::internal::compiler::ast::CompilationUnitDeclaration ,97,23,0,8,1990.0,289.0,20.5155,1403.0,289.0,14.4639,587.0,140.0,6.05155,367.0,139.257,2,0,0,0,0, 
68,324,org::eclipse::jdt::internal::core::search::IndexSelector ,55,6,0,8,988.0,192.0,17.9636,975.0,192.0,17.7273,13.0,50.0,0.236364,367.0,112.65,1,0,1,0,0, 
69,327,org::eclipse::jdt::core::search::FieldReferenceMatch ,27,5,0,6,257.0,45.0,9.51852,114.0,44.0,4.22222,143.0,31.0,5.2963,227.571,46.5097,1,0,0,0,0, 
70,328,org::eclipse::jdt::core::search::SearchDocument ,22,4,0,5,268.0,61.0,12.1818,99.0,30.0,4.5,169.0,31.0,7.68182,236.0,17.9238,1,0,0,0,0, 
71,330,org::eclipse::jdt::internal::core::util::DefaultBytecodeVisitor ,56,17,0,7,3556.0,587.0,63.5,4880.0,1041.0,87.1429,-1324.0,307.0,-23.6429,322.714,115.126,2,0,0,0,0, 
72,332,org::eclipse::jdt::internal::core::search::matching::InternalReferenceMatch ,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2857,0.0,1,0,0,0,0, 
73,355,org::eclipse::jdt::internal::core::search::matching::PatternLocator ,92,6,0,9,1830.0,206.0,19.8913,982.0,146.0,10.6739,848.0,205.0,9.21739,248.571,85.3527,1,0,0,0,0, 
74,356,org::eclipse::jdt::internal::codeassist::impl::Engine ,75,7,0,7,2054.0,181.0,27.3867,1763.0,181.0,23.5067,291.0,112.0,3.88,367.0,72.6069,1,0,0,0,0, 
75,358,org::eclipse::jdt::core::dom::ASTConverter ,318,166,0,10,17380.0,3852.0,54.6541,12236.0,2861.0,38.478,5144.0,1378.0,16.1761,333.14300000000003,97.7421,1,1,0,0,0, 
76,359,org::eclipse::jdt::internal::compiler::ast::QualifiedAllocationExpression ,115,16,0,11,2006.0,339.0,17.4435,1814.0,339.0,15.7739,192.0,68.0,1.66957,367.0,110.40100000000001,1,0,0,0,0, 
77,361,org::eclipse::jdt::internal::core::search::JavaSearchScope ,90,7,0,9,2269.0,335.0,25.2111,1645.0,335.0,18.2778,624.0,96.0,6.933330000000001,367.0,143.248,1,0,1,0,0, 
78,366,org::eclipse::jdt::internal::compiler::ast::Javadoc ,80,11,0,6,1712.0,152.0,21.4,853.0,113.0,10.6625,859.0,105.0,10.7375,239.143,65.9057,3,0,0,0,0, 
79,367,org::eclipse::jdt::core::dom::TypeBinding ,166,72,0,11,4331.0,668.0,26.0904,2972.0,616.0,17.9036,1359.0,119.0,8.18675,333.14300000000003,147.972,1,0,0,0,0, 
80,370,org::eclipse::jdt::internal::core::builder::AdditionalTypeCollection ,9,4,0,4,44.0,22.0,4.88889,39.0,22.0,4.33333,5.0,5.0,0.555556,329.0,44.6526,1,0,0,0,0, 
81,378,org::eclipse::jdt::internal::core::BinaryMethod ,121,27,0,9,1943.0,305.0,16.0579,1245.0,305.0,10.2893,698.0,150.0,5.7685900000000006,367.0,146.939,1,0,0,0,0, 
82,394,org::eclipse::jdt::internal::core::builder::IncrementalImageBuilder ,124,10,0,9,2029.0,568.0,16.3629,1496.0,568.0,12.0645,533.0,51.0,4.29839,329.0,99.3253,1,0,0,0,0, 
83,404,org::eclipse::jdt::internal::core::search::matching::ClassFileMatchLocator ,56,9,0,8,657.0,141.0,11.7321,398.0,53.0,7.107139999999999,259.0,140.0,4.625,250.0,147.079,1,0,0,0,0, 
84,415,org::eclipse::jdt::internal::compiler::ast::ConstructorDeclaration ,123,13,0,9,2597.0,393.0,21.1138,2389.0,393.0,19.4228,208.0,66.0,1.6910599999999998,367.0,130.377,3,0,1,1,0, 
85,417,org::eclipse::jdt::core::CorrectionEngine ,60,8,0,10,979.0,413.0,16.3167,808.0,413.0,13.4667,171.0,39.0,2.85,333.0,66.5053,1,0,0,0,0, 
86,418,org::eclipse::jdt::internal::core::search::matching::VariableLocator ,12,4,0,6,71.0,49.0,5.91667,69.0,54.0,5.75,2.0,7.0,0.166667,243.0,46.3501,1,0,0,0,0, 
87,421,org::eclipse::jdt::internal::compiler::ast::SwitchStatement ,95,11,0,8,2048.0,311.0,21.5579,1923.0,311.0,20.2421,125.0,28.0,1.31579,367.0,88.3375,1,0,0,0,0, 
88,422,org::eclipse::jdt::internal::core::search::indexing::InternalSearchDocument ,14,2,0,6,51.0,12.0,3.6428599999999998,26.0,11.0,1.8571400000000002,25.0,11.0,1.78571,216.571,75.3782,1,0,0,0,0, 
89,430,org::eclipse::jdt::internal::compiler::lookup::TypeBinding ,144,9,0,10,3312.0,537.0,23.0,1949.0,361.0,13.5347,1363.0,176.0,9.46528,367.0,227.62599999999998,3,0,0,0,0, 
90,433,org::eclipse::jdt::internal::core::search::matching::TypeReferencePattern ,100,5,0,7,4966.0,645.0,49.66,5428.0,645.0,54.28,-462.0,55.0,-4.62,367.0,46.5549,1,0,0,0,0, 
91,438,org::eclipse::jdt::internal::eval::CodeSnippetAllocationExpression ,56,7,0,8,647.0,174.0,11.5536,567.0,174.0,10.125,80.0,30.0,1.4285700000000001,367.0,86.2279,1,0,0,0,0, 
92,449,org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteAnalyzer ,68,11,0,9,2381.0,402.0,35.0147,1288.0,141.0,18.9412,1093.0,361.0,16.0735,220.143,35.9899,2,0,0,0,0, 
93,450,org::eclipse::jdt::internal::compiler::ast::ReturnStatement ,84,9,0,7,1444.0,249.0,17.1905,1425.0,249.0,16.9643,19.0,15.0,0.22619,367.0,110.897,1,0,0,0,0, 
94,457,org::eclipse::jdt::internal::core::NameLookup ,144,10,0,9,3524.0,763.0,24.4722,2994.0,763.0,20.7917,530.0,86.0,3.68056,367.0,134.697,0,0,0,0,0, 
95,458,org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTag ,6,3,0,2,58.0,22.0,9.66667,21.0,14.0,3.5,37.0,17.0,6.16667,140.143,27.7192,1,1,0,0,0, 
96,460,org::eclipse::jdt::internal::compiler::ast::ParameterizedQualifiedTypeReference ,85,13,0,9,1168.0,274.0,13.7412,526.0,106.0,6.18824,642.0,274.0,7.5529399999999995,240.857,56.7549,1,0,0,0,0, 
97,467,org::eclipse::jdt::internal::core::ClasspathEntry ,128,12,0,9,5536.0,1358.0,43.25,3522.0,1358.0,27.5156,2014.0,449.0,15.7344,367.0,164.919,4,0,1,1,0, 
98,469,org::eclipse::jdt::internal::core::search::matching::PackageReferencePattern ,83,8,0,7,2960.0,450.0,35.6627,3359.0,450.0,40.4699,-399.0,58.0,-4.807230000000001,367.0,36.1602,1,0,0,0,0, 
99,470,org::eclipse::jdt::internal::core::JavaProjectElementInfo ,69,9,0,7,1470.0,235.0,21.3043,1179.0,235.0,17.087,291.0,62.0,4.21739,367.0,131.24200000000002,1,0,0,0,0, 
100,483,org::eclipse::jdt::internal::core::CompilationUnitStructureRequestor ,94,6,0,8,2095.0,542.0,22.2872,2143.0,579.0,22.7979,-48.0,124.0,-0.510638,367.0,102.38600000000001,1,0,0,0,0, 
101,485,org::eclipse::jdt::internal::core::builder::BatchImageBuilder ,94,5,0,9,1177.0,151.0,12.5213,992.0,151.0,10.5532,185.0,87.0,1.9680900000000001,329.0,108.524,1,0,0,0,0, 
102,486,org::eclipse::jdt::internal::compiler::parser::AbstractCommentParser ,105,17,0,9,3845.0,308.0,36.619,2468.0,312.0,23.5048,1377.0,167.0,13.1143,230.143,50.3423,7,0,0,0,2, 
103,488,org::eclipse::jdt::internal::core::index::Index ,46,5,0,8,748.0,166.0,16.2609,386.0,43.0,8.3913,362.0,129.0,7.869560000000001,234.571,30.6146,1,0,0,0,0, 
104,491,org::eclipse::jdt::internal::core::util::Disassembler ,132,50,0,7,6668.0,923.0,50.5151,4784.0,808.0,36.2424,1884.0,433.0,14.2727,322.714,132.977,1,0,0,0,0, 
105,496,org::eclipse::jdt::internal::core::JavaProject ,469,31,0,12,14901.0,2162.0,31.7719,12570.0,2162.0,26.8017,2331.0,334.0,4.97015,367.0,90.5064,4,0,0,0,0, 
106,497,org::eclipse::jdt::internal::compiler::flow::ExceptionHandlingFlowContext ,56,3,0,7,1017.0,186.0,18.1607,918.0,186.0,16.3929,99.0,37.0,1.7678599999999998,367.0,92.2651,2,0,0,0,0, 
107,498,org::eclipse::jdt::internal::core::search::matching::TypeReferenceLocator ,84,7,0,9,1376.0,249.0,16.381,989.0,200.0,11.7738,387.0,237.0,4.60714,248.571,63.8602,2,0,0,0,0, 
108,504,org::eclipse::jdt::internal::core::search::matching::TypeParameterLocator ,2,1,0,2,5.0,5.0,2.5,5.0,5.0,2.5,0.0,0.0,0.0,177.143,4.28571,1,0,0,0,0, 
109,511,org::eclipse::jdt::internal::codeassist::SelectionEngine ,176,15,0,10,4315.0,737.0,24.517,3181.0,737.0,18.0739,1134.0,101.0,6.44318,367.0,115.47,1,0,0,0,0, 
110,515,org::eclipse::jdt::internal::compiler::codegen::ExceptionLabel ,25,4,0,5,234.0,57.0,9.36,150.0,36.0,6.0,84.0,35.0,3.36,367.0,159.93,1,0,0,0,0, 
111,519,org::eclipse::jdt::internal::core::CancelableNameEnvironment ,10,3,0,4,21.0,5.0,2.1,18.0,5.0,1.8,3.0,3.0,0.3,191.571,37.898,1,0,0,0,0, 
112,523,org::eclipse::jdt::core::search::TypeReferenceMatch ,31,4,0,6,352.0,77.0,11.3548,146.0,64.0,4.7096800000000005,206.0,53.0,6.645160000000001,227.571,84.1364,2,0,0,0,0, 
113,540,org::eclipse::jdt::internal::core::search::matching::FieldPattern ,41,1,0,6,324.0,37.0,7.9024399999999995,695.0,254.0,16.9512,-371.0,28.0,-9.04878,258.143,47.141999999999996,1,0,0,0,0, 
114,563,org::eclipse::jdt::internal::compiler::ast::Reference ,37,4,0,6,315.0,76.0,8.51351,362.0,92.0,9.78378,-47.0,11.0,-1.27027,367.0,60.6934,1,0,0,0,0, 
115,564,org::eclipse::jdt::internal::core::CreateTypeMemberOperation ,50,8,0,9,533.0,143.0,10.66,453.0,143.0,9.06,80.0,56.0,1.6,367.0,98.5864,1,0,0,0,0, 
116,567,org::eclipse::jdt::core::JavaConventions ,141,19,0,10,4684.0,670.0,33.2199,4720.0,670.0,33.4752,-36.0,219.0,-0.255319,367.0,84.7565,1,0,1,1,0, 
117,576,org::eclipse::jdt::internal::codeassist::CompletionEngine ,413,18,0,11,36511.0,2702.0,88.4044,25887.0,2702.0,62.6804,10624.0,868.0,25.724,367.0,119.439,7,0,0,0,0, 
118,577,org::eclipse::jdt::internal::compiler::ast::TryStatement ,139,18,0,7,4053.0,618.0,29.1583,3545.0,558.0,25.5036,508.0,92.0,3.6546800000000004,367.0,129.03,3,0,0,0,0, 
119,581,org::eclipse::jdt::internal::compiler::lookup::ReferenceBinding ,181,11,0,10,3670.0,599.0,20.2762,2841.0,599.0,15.6961,829.0,180.0,4.5801099999999995,367.0,146.225,1,0,0,0,0, 
120,586,org::eclipse::jdt::internal::formatter::CodeFormatterVisitor ,252,142,0,8,7409.0,1496.0,29.4008,5091.0,428.0,20.2024,2318.0,1296.0,9.19841,261.57099999999997,48.5992,2,0,0,0,0, 
121,593,org::eclipse::jdt::core::search::ReferenceMatch ,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2857,0.0,1,0,0,0,0, 
122,598,org::eclipse::jdt::internal::compiler::ast::AllocationExpression ,96,11,0,10,1711.0,272.0,17.8229,1509.0,290.0,15.7187,202.0,50.0,2.10417,367.0,115.101,1,0,0,0,0, 
123,605,org::eclipse::jdt::internal::core::builder::AbstractImageBuilder ,150,14,0,11,2422.0,411.0,16.1467,1764.0,411.0,11.76,658.0,151.0,4.38667,329.0,135.043,2,0,0,0,0, 
124,620,org::eclipse::jdt::internal::codeassist::InternalCompletionProposal ,12,2,0,4,117.0,43.0,9.75,230.0,105.0,19.1667,-113.0,7.0,-9.41667,191.71400000000003,38.3492,1,0,0,0,0, 
125,631,org::eclipse::jdt::internal::compiler::impl::CompilerOptions ,233,26,0,11,10114.0,619.0,43.4077,8989.0,619.0,38.5794,1125.0,300.0,4.82833,367.0,71.8777,1,0,0,0,0, 
126,634,org::eclipse::jdt::internal::core::search::matching::MultiTypeDeclarationPattern ,15,5,0,3,182.0,53.0,12.1333,92.0,54.0,6.13333,90.0,52.0,6.0,169.571,34.5275,1,0,0,0,0, 
127,635,org::eclipse::jdt::internal::core::SelectionRequestor ,90,6,0,9,2364.0,335.0,26.2667,1422.0,335.0,15.8,942.0,149.0,10.4667,367.0,140.613,0,0,0,0,0, 
128,639,org::eclipse::jdt::internal::core::hierarchy::TypeHierarchy ,122,7,0,8,4457.0,1312.0,36.5328,4192.0,1312.0,34.3607,265.0,357.0,2.17213,367.0,59.2385,1,1,0,0,0, 
